chr	start	end
chr11	80184000	80184249
chr11	70099200	70099349
chr11	59963400	59963649
chr11	51629350	51629549
chr11	33919050	33919249
chr11	32231650	32231799
chr11	26201850	26201999
chr10	128194050	128194249
chr10	127385200	127385399
chr10	127291500	127291649
chr10	80718400	80718599
chr10	80712100	80712299
chr10	62232050	62232199
chr10	61425100	61425349
chr10	13965450	13965599
chr10	5422000	5422199
chr1	162276500	162276699
chr1	132372950	132373049
chr1	52702450	52702699
chrX	83320900	83321049
chrX	71961800	71962049
chr9	118067700	118067899
chr9	67840400	67840599
chr9	51008750	51008949
chr9	48707000	48707199
chr9	42607800	42607999
chr8	123567850	123568049
chr8	111790650	111790899
chr8	110699150	110699449
chr8	107404300	107404449
chr8	84090200	84090399
chr8	33831250	33831449
chr7	123122850	123122999
chr7	82706350	82706499
chr7	45718300	45718449
chr7	29965450	29965599
chr7	27404700	27404999
chr7	27355750	27355899
chr7	25671400	25671599
chr7	15963900	15964099
chr7	12964600	12964799
chr6	146494550	146494749
chr6	113377500	113377699
chr6	91981750	91981849
chr6	88269800	88270049
chr6	83027850	83027999
chr6	72655500	72655649
chr6	71976850	71976999
chr6	46845000	46845199
chr6	30064750	30064949
chr5	151163450	151163649
chr5	151079000	151079149
chr5	148928750	148928949
chr5	143563850	143564099
chr5	135528900	135529199
chr5	115279600	115279849
chr5	33274800	33274949
chr5	31193250	31193449
chr4	148313350	148313549
chr4	142075850	142075949
chr4	135373350	135373499
chr4	133010850	133011049
chr4	123540050	123540199
chr4	57067350	57067499
chr4	41216700	41216849
chr4	21871800	21871949
chr3	132799450	132799649
chr3	106513250	106513449
chr3	64014200	64014399
chr3	41564950	41565099
chr3	19561350	19561599
chr3	9718050	9718299
chr2	181418150	181418399
chr2	165310150	165310349
chr2	164671600	164671749
chr2	163556950	163557149
chr2	158103100	158103299
chr2	125779100	125779299
chr2	121441300	121441499
chr2	120403650	120403949
chr2	105987050	105987199
chr2	35226400	35226549
chr2	31784100	31784199
chr2	4561400	4561599
chr2	3140350	3140499
chr19	42008200	42008399
chr18	84374850	84374949
chr17	83773450	83773649
chr17	72937550	72937749
chr17	56024900	56025099
chr17	34854200	34854399
chr17	30576600	30576749
chr17	27766650	27766749
chr17	25622000	25622199
chr17	17022450	17022649
chr17	14978450	14978799
chr16	44104500	44104649
chr16	43893000	43893199
chr16	33944900	33945049
chr16	31072200	31072449
chr16	14152250	14152499
chr15	98121700	98121849
chr15	94789350	94789549
chr15	93545700	93545899
chr15	89308600	89308949
chr15	80003850	80004249
chr14	121723400	121723549
chr14	31700300	31700499
chr13	110394650	110394749
chr13	100596450	100596599
chr13	73812850	73812999
chr12	105763550	105763849
chr12	102743200	102743349
chr12	80229950	80230099
chr12	16545100	16545399
chr11	109686850	109686999
chr11	98358400	98358599
chr11	78188450	78188649
chr11	68826600	68826799
chr11	49216500	49216699
chr10	81545350	81545599
chr10	63391700	63391799
chr10	61361050	61361249
chr1	64930100	64930199
chr1	54425350	54425549
chrX	133950650	133950799
chrX	13847000	13847099
chr9	108248850	108249149
chr9	107752300	107752549
chr9	105448400	105448599
chr9	98576100	98576299
chr9	96364050	96364249
chr9	64304300	64304449
chr9	63575000	63575199
chr9	60816100	60816299
chr9	60522200	60522349
chr9	60244550	60244649
chr9	21031600	21031799
chr8	120216000	120216149
chr8	111612850	111613149
chr8	85555400	85555599
chr8	65103300	65103449
chr8	47012950	47013099
chr8	11841500	11841749
chr7	99481600	99481799
chr7	88130150	88130349
chr7	81762550	81762799
chr7	66073000	66073199
chr7	45525850	45526049
chr7	45335300	45335449
chr7	34655200	34655399
chr7	25676550	25676799
chr6	125349750	125349949
chr6	31368700	31368899
chr5	146950050	146950199
chr5	140053400	140053499
chr5	137628400	137628599
chr5	125279650	125279849
chr5	122486900	122487099
chr5	121824350	121824549
chr5	121161650	121161849
chr5	112858700	112858949
chr5	66338350	66338549
chr4	150855700	150855849
chr4	145112450	145112649
chr4	141049350	141049499
chr4	140624000	140624249
chr4	138181200	138181349
chr4	137751500	137751749
chr4	133735300	133735549
chr4	131972100	131972249
chr4	129154050	129154249
chr4	116134800	116134999
chr4	115818350	115818549
chr4	114909150	114909399
chr4	109657200	109657399
chr4	108377150	108377299
chr4	99929650	99929899
chr4	62525100	62525249
chr4	57766150	57766299
chr4	46602250	46602399
chr3	107517900	107518049
chr3	104057250	104057499
chr3	97227800	97227999
chr2	144370550	144370699
chr2	120730650	120730899
chr2	92392650	92392799
chr2	90994900	90994999
chr2	54868700	54868799
chr2	51950900	51951099
chr2	31806650	31806899
chr2	25982850	25983099
chr19	36434900	36435149
chr19	5348950	5349149
chr18	43595550	43595749
chr18	38837500	38837649
chr18	12940550	12940799
chr17	87986100	87986199
chr17	74779350	74779549
chr17	31107250	31107499
chr17	25273350	25273549
chr17	8135700	8135999
chr17	7332950	7333049
chr16	94269850	94270049
chr16	74243850	74243999
chr16	17666450	17666649
chr16	4600900	4601099
chr15	100533450	100533599
chr15	97768100	97768349
chr15	86437050	86437299
chr15	85971300	85971499
chr14	57311200	57311349
chr14	47402800	47402899
chr14	33323700	33323999
chr14	21772600	21772799
chr14	19750850	19751049
chr13	106953650	106953749
chr13	94380350	94380549
chr12	80791350	80791599
chr12	16569450	16569649
chr11	88605700	88605799
chr11	61366950	61367099
chr11	32190000	32190149
chr10	128586150	128586399
chr10	100015450	100015699
chr10	81284100	81284249
chr10	80610800	80610899
chr10	68131150	68131299
chr10	23797050	23797349
chr1	175692100	175692199
chr1	171338250	171338449
chr1	156662200	156662349
chr1	153047950	153048149
chr1	134750600	134750849
chr1	134697200	134697599
chr1	121087600	121087749
chr1	91220600	91220799
chr1	75219850	75220049
chr1	73956750	73956949
chr1	69686550	69686749
chr1	63150300	63150499
chr1	53613300	53613549
chr3	30745100	30745249
chrX	168572900	168573049
chr9	123453450	123453649
chr9	119069000	119069249
chr9	119053600	119053749
chr9	70012700	70012949
chr9	66873800	66873899
chr9	65719850	65720049
chr8	126958450	126958749
chr8	123544550	123544749
chr8	123235400	123235499
chr8	121915350	121915599
chr8	121116100	121116349
chr8	120176250	120176399
chr8	107070750	107070849
chr8	86623600	86623799
chr8	84620450	84620599
chr8	78807250	78807449
chr8	72587000	72587149
chr8	72545050	72545199
chr8	64193400	64193599
chr8	25976550	25976649
chr8	11530950	11531199
chr7	133124000	133124149
chr7	130515500	130515649
chr7	125669700	125669899
chr7	123322300	123322499
chr7	100930150	100930399
chr7	98163500	98163649
chr7	92086250	92086399
chr7	80398900	80399099
chr7	61146400	61146599
chr7	48868450	48868649
chr7	30534050	30534249
chr7	28377150	28377399
chr7	24502250	24502399
chr7	4648950	4649149
chr6	134920400	134920599
chr6	116651700	116651949
chr6	116256800	116256999
chr6	83406800	83406949
chr6	71493600	71493699
chr6	39146600	39146899
chr6	29490800	29490999
chr5	148535850	148536049
chr5	147860650	147860799
chr5	140791950	140792149
chr5	139826100	139826299
chr5	139399350	139399499
chr5	139281350	139281549
chr5	135369950	135370149
chr5	124327650	124327849
chr5	122453250	122453449
chr5	115441150	115441349
chr5	113650800	113651049
chr5	113280300	113280499
chr5	110231000	110231199
chr5	76153900	76154049
chr5	67007600	67007849
chr5	38221200	38221399
chr5	38220450	38220649
chr5	36831650	36831749
chr5	32580100	32580299
chr5	5643550	5643749
chr5	3973200	3973449
chr4	154337100	154337349
chr4	152022900	152023099
chr4	151939450	151939649
chr4	149736700	149736899
chr4	148490900	148491149
chr4	141506500	141506699
chr4	138053750	138053849
chr4	133268950	133269099
chr4	105159500	105159649
chr4	100545700	100545849
chr4	94539900	94540049
chr4	46041300	46041499
chr3	90609900	90610149
chr2	174474700	174474949
chr2	166976450	166976649
chr2	164795250	164795399
chr2	155851950	155852149
chr2	154852200	154852399
chr2	152376800	152376949
chr2	151947050	151947199
chr2	125121550	125121749
chr2	90745750	90745999
chr2	83644500	83644649
chr2	33632200	33632299
chr2	32417750	32417949
chr2	29956250	29956399
chr2	29236800	29236899
chr2	25247850	25247999
chr19	59436550	59436699
chr19	36561000	36561199
chr19	24013800	24013999
chr18	89015300	89015499
chr18	75562600	75562849
chr18	74789150	74789299
chr18	41903850	41903949
chr18	39414100	39414299
chr18	38631700	38631949
chr18	37762400	37762549
chr18	35658250	35658449
chr18	31941950	31942049
chr17	87678850	87678999
chr17	66501500	66501649
chr17	65799150	65799349
chr17	50171200	50171499
chr17	16969600	16969749
chr16	94589650	94589799
chr16	92430350	92430449
chr16	58727400	58727599
chr16	29622050	29622199
chr16	23275700	23275899
chr16	17576500	17576649
chr16	4050000	4050199
chr15	102451150	102451299
chr15	101363100	101363249
chr15	86296250	86296449
chr15	82149100	82149399
chr15	81664250	81664349
chr15	79546900	79547099
chr15	73513000	73513199
chr15	38507500	38507699
chr15	27886400	27886599
chr14	122918100	122918249
chr14	74916400	74916599
chr14	65582100	65582199
chr14	64167450	64167649
chr14	54600700	54600799
chr14	52076900	52077099
chr14	45477700	45477849
chr14	29336600	29336699
chr13	44918400	44918549
chr13	43022200	43022399
chr13	23739850	23740049
chr12	99817550	99817699
chr12	80114000	80114249
chr12	75735050	75735149
chr12	4906900	4907149
chr12	4841500	4841649
chr11	120186750	120186949
chr11	115532500	115532649
chr11	103953600	103953899
chr11	102544800	102544949
chr11	98768600	98768849
chr11	94288050	94288249
chr11	94135450	94135649
chr11	85885950	85886099
chr11	85492750	85492899
chr11	85169050	85169299
chr11	83313600	83313749
chr11	78578300	78578549
chr11	69158250	69158499
chr11	67080850	67081049
chr11	62399900	62400049
chr11	60246600	60246749
chr11	55505150	55505499
chr11	53836400	53836549
chr11	52119350	52119499
chr11	6316750	6316849
chr11	4423400	4423649
chr10	115245650	115245799
chr10	108162050	108162199
chr10	100027300	100027449
chr10	88336300	88336499
chr10	84594100	84594299
chr10	84577100	84577249
chr10	79766700	79766899
chr10	75212100	75212449
chr10	69265300	69265399
chr10	67185850	67185999
chr1	152682850	152682949
chr1	152399900	152400249
chr1	91456000	91456199
chr1	75366550	75366699
chr1	39348800	39348949
chr1	10993750	10994049
chrX	77546750	77546899
chrX	52153000	52153099
chrX	48514250	48514349
chrX	37679400	37679499
chr9	121119600	121119749
chr9	119322100	119322299
chr9	119040950	119041199
chr9	109118950	109119199
chr9	109011000	109011299
chr9	100663200	100663299
chr9	88719550	88719649
chr9	68817200	68817349
chr9	64811400	64811649
chr9	45330400	45330649
chr9	29867100	29867249
chr9	22323050	22323199
chr9	19809700	19809899
chr8	123620900	123621049
chr8	118435850	118436049
chr8	95885300	95885449
chr8	94533250	94533449
chr8	83916250	83916449
chr8	79639350	79639549
chr8	72160700	72160799
chr8	70582550	70582749
chr8	11551750	11551949
chr7	141447650	141447799
chr7	141270300	141270549
chr7	139238800	139238949
chr7	123242500	123242699
chr7	110843550	110843799
chr7	68252600	68252749
chr7	67755950	67756099
chr7	47133750	47133849
chr7	34166000	34166199
chr7	27704050	27704249
chr7	25243300	25243449
chr7	19176650	19176799
chr7	19113700	19113849
chr7	16258300	16258449
chr7	15993900	15993999
chr6	125062300	125062549
chr6	122590900	122591099
chr6	118419600	118419699
chr6	113700150	113700299
chr6	92874200	92874299
chr6	54693550	54693699
chr6	52169850	52169999
chr6	33929300	33929549
chr6	31289300	31289399
chr6	5877700	5877849
chr5	145134650	145134849
chr5	144926500	144926849
chr5	137033350	137033549
chr5	135761350	135761549
chr5	123005450	123005599
chr5	121801200	121801399
chr5	121306950	121307049
chr5	111416700	111417049
chr5	111164400	111164599
chr5	44210850	44210949
chr5	35082450	35082749
chr5	35040250	35040399
chr5	34896700	34896849
chr5	30617900	30618099
chr4	155250150	155250449
chr4	155033650	155033849
chr4	150971250	150971399
chr4	150340300	150340449
chr4	148940650	148940799
chr4	148858150	148858349
chr4	148671100	148671249
chr4	141077750	141077949
chr4	140446450	140446599
chr4	139575200	139575399
chr4	137394300	137394449
chr4	137048150	137048299
chr4	136783800	136783949
chr4	134891550	134891749
chr4	132922100	132922299
chr4	132706900	132707099
chr4	129640700	129640949
chr4	129434250	129434399
chr4	106441650	106441799
chr4	101292100	101292199
chr4	97702750	97702899
chr4	43646050	43646249
chr3	145648100	145648349
chr3	129301500	129301649
chr3	79572500	79572649
chr3	63976200	63976349
chr3	51484250	51484649
chr2	167174500	167174749
chr2	166153600	166153749
chr2	160884550	160884899
chr2	156839000	156839149
chr2	153493600	153493799
chr2	153269250	153269449
chr2	152696550	152696799
chr2	92110150	92110249
chr2	77411950	77412099
chr2	33602500	33602649
chr2	25522000	25522199
chr2	25080250	25080349
chr19	60580400	60580549
chr19	58807900	58807999
chr19	53528750	53528899
chr19	46707850	46708049
chr19	45524600	45524749
chr19	24331550	24331649
chr19	14598650	14598799
chr19	7069200	7069399
chr18	80210050	80210249
chr18	75677650	75677749
chr18	49869650	49869799
chr18	34954950	34955099
chr18	25538450	25538649
chr17	86915400	86915499
chr17	79858400	79858599
chr17	56578850	56578999
chr17	56071000	56071149
chr17	42875600	42875749
chr17	34972350	34972499
chr17	34647200	34647449
chr17	30059200	30059399
chr17	29373700	29373849
chr17	29271650	29271799
chr17	25773350	25773549
chr17	25211000	25211149
chr17	24605450	24605649
chr17	8524850	8524999
chr17	6479700	6479849
chr17	6434100	6434299
chr16	96037700	96037849
chr16	91720600	91720799
chr16	31101400	31101549
chr16	22161300	22161449
chr15	101190850	101190999
chr15	97788200	97788399
chr15	79438300	79438449
chr15	58873150	58873299
chr15	57698200	57698299
chr15	10475900	10476099
chr15	8135200	8135349
chr14	79161850	79162049
chr14	73143700	73143849
chr14	64800600	64800749
chr14	60548050	60548199
chr14	57366250	57366449
chr14	56582450	56582649
chr14	21987650	21987799
chr14	8317350	8317499
chr13	69533700	69533799
chr13	66249350	66249499
chr13	55219850	55220049
chr13	51169550	51169749
chr13	51100450	51100649
chr13	45586250	45586399
chr13	41249850	41249999
chr13	37820000	37820099
chr13	34002450	34002649
chr12	110602050	110602299
chr12	100116100	100116299
chr12	56897300	56897399
chr12	52913300	52913449
chr11	117969750	117969949
chr11	117822850	117823049
chr11	115602550	115602699
chr11	103773900	103774099
chr11	94490100	94490299
chr11	77984650	77984749
chr11	60168450	60168599
chr11	59229850	59230049
chr11	55128650	55128749
chr11	50161400	50161599
chr11	45850500	45850699
chr11	6395050	6395149
chr11	5123700	5123849
chr10	128867500	128867649
chr10	111471300	111471549
chr10	85185200	85185349
chr10	81349800	81349999
chr10	80985350	80985499
chr10	79927400	79927549
chr10	69876550	69876699
chr10	61133450	61133699
chr10	59593650	59593749
chr10	13182300	13182399
chr10	12787850	12787999
chr10	5097150	5097299
chr1	178188350	178188599
chr1	172327200	172327449
chr1	172022650	172022899
chr1	165442950	165443199
chr1	157412100	157412399
chr1	135132200	135132449
chr1	133898550	133898699
chr1	132303550	132303699
chr1	118472850	118473099
chr1	93513600	93513849
chr1	78197200	78197349
chr1	77507800	77508199
chr1	73966750	73966899
chr1	44122250	44122399
chr1	37319300	37319549
chr7	97106100	97106199
chr10	75699100	75699249
chr1	138856600	138856749
chrX	106837300	106837449
chrX	51010850	51010949
chr9	119125800	119125949
chr9	110656500	110656699
chr9	107635050	107635249
chr9	104262650	104262899
chr9	76127350	76127499
chr9	66069100	66069249
chr9	64950450	64950599
chr9	63989900	63989999
chr9	60797600	60797799
chr9	56899400	56899499
chr9	55287050	55287249
chr9	44094000	44094249
chr8	125024100	125024349
chr8	124662950	124663199
chr8	123650400	123650599
chr8	123539650	123539849
chr8	122677100	122677399
chr8	122306750	122306899
chr8	122142750	122143049
chr8	120049700	120049899
chr8	106643050	106643149
chr8	83981250	83981349
chr8	77550650	77550799
chr8	72322150	72322349
chr8	71547800	71547949
chr8	71286100	71286249
chr8	61591000	61591149
chr8	35589650	35589799
chr8	12975200	12975349
chr8	11539700	11539849
chr8	11478400	11478549
chr7	145258550	145258749
chr7	141161900	141162049
chr7	127591800	127591949
chr7	123127750	123127949
chr7	102220000	102220149
chr7	98968900	98969149
chr7	80906050	80906149
chr7	80381600	80381849
chr7	79596200	79596349
chr7	59228400	59228599
chr7	27628500	27628699
chr7	25724800	25724949
chr7	19265600	19265749
chr7	4465300	4465449
chr7	3624550	3624799
chr6	149188850	149189049
chr6	145525600	145525799
chr6	125380250	125380349
chr6	116211950	116212199
chr6	114875950	114876099
chr6	102313800	102313899
chr6	90601800	90601999
chr6	88753100	88753249
chr6	85371700	85371899
chr6	83441400	83441549
chr6	73222800	73222999
chr6	70844550	70844699
chr6	52588800	52588899
chr6	48405550	48405799
chr6	47811100	47811249
chr6	47517650	47517799
chr6	38876450	38876649
chr6	29712250	29712449
chr6	11905850	11905999
chr5	143471250	143471499
chr5	142800200	142800399
chr5	130218350	130218549
chr5	122433150	122433349
chr5	65533550	65533749
chr5	36530150	36530399
chr5	35563200	35563299
chr5	34955650	34955799
chr5	34918000	34918099
chr5	34761200	34761449
chr5	33820350	33820499
chr5	24510500	24510649
chr5	23525750	23525899
chr4	148306100	148306249
chr4	141021000	141021199
chr4	140683950	140684149
chr4	134551500	134551699
chr4	130944950	130945049
chr4	130037000	130037199
chr4	128707200	128707449
chr4	122884250	122884449
chr4	116685600	116685699
chr4	116090800	116090949
chr4	108261300	108261499
chr4	107834350	107834449
chr4	101177000	101177199
chr4	99195700	99195849
chr4	63310250	63310449
chr4	44848050	44848199
chr4	43669500	43669749
chr4	42954650	42954849
chr4	8778700	8778899
chr3	127633450	127633599
chr3	108410750	108410949
chr3	95216150	95216299
chr3	94861900	94862099
chr3	90462350	90462599
chr3	89160150	89160249
chr3	88000600	88000799
chr3	84895000	84895199
chr3	84473700	84473799
chr3	81989750	81989849
chr3	54734750	54734899
chr3	37639900	37639999
chr2	179957800	179957899
chr2	165064350	165064499
chr2	158550400	158550599
chr2	158403050	158403149
chr2	157861550	157861699
chr2	155687150	155687349
chr2	155555550	155555649
chr2	154945150	154945299
chr2	152831000	152831199
chr2	152689400	152689599
chr2	151941250	151941399
chr2	134786300	134786449
chr2	132808300	132808549
chr2	91292700	91292799
chr2	73387100	73387249
chr2	69953850	69953999
chr2	52436900	52436999
chr2	36216300	36216449
chr2	29925000	29925249
chr2	26604400	26604549
chr2	26438400	26438499
chr2	25443750	25443899
chr2	3444950	3445049
chr19	60890500	60890699
chr19	47579400	47579499
chr19	46448150	46448349
chr19	45417550	45417749
chr19	45074900	45075099
chr19	44966300	44966449
chr19	44756300	44756499
chr19	44553250	44553349
chr19	40379500	40379649
chr19	29025200	29025299
chr19	7365050	7365249
chr19	7151350	7151599
chr19	6946650	6946899
chr19	6941550	6941699
chr19	5083950	5084099
chr19	3548500	3548599
chr18	76241300	76241499
chr18	75366900	75367049
chr18	38285300	38285549
chr18	36691400	36691549
chr18	36031600	36031749
chr18	34954050	34954199
chr18	34588250	34588449
chr18	14682750	14682899
