chr	start	end
chr1	147868600	147870599
chr4	100405400	100406999
chr17	20440200	20442199
chr1	21045400	21047999
chr2	23735400	23737799
chr3	175097000	175101799
chr2	249993800	249994799
chr8	123843200	123844799
chr10	93762800	93764799
chr11	69463400	69465199
chr1	72358000	72360399
chr1	188985600	188988399
chr4	56254200	56255799
chr19	11587400	11590999
chr5	171918400	171920199
chr10	6010400	6013799
chr2	182862000	182864799
chr5	79126800	79127999
chr12	10091000	10092199
chr7	34664400	34664999
chr6	138628000	138630199
chr14	60603800	60604999
chr1	203709200	203712399
chr2	55207400	55207999
chr4	157223400	157225399
chrX	72683400	72685599
chr12	696200	697999
chr4	131450800	131453799
chr15	7944000	7944599
chr1	235064000	235064799
chr4	117261600	117262599
chr9	1966800	1967399
chr5	164868600	164869399
chr17	43662200	43663199
chr7	40144600	40145199
chr11	84127800	84128199
chr4	140832600	140834399
chr6	7068400	7069799
chr3	150189000	150192799
chr1	163365600	163366999
chr3	146718800	146722599
chr11	30837200	30840199
chr2	184606800	184608599
chr4	121682000	121683199
chr3	11443200	11445599
chr17	80279800	80282199
chr8	59367800	59371799
chr10	5329600	5334199
chr15	84356600	84357599
chr1	182056600	182056999
chr15	32355800	32356399
chr8	127469600	127472599
chr9	99383400	99386599
chr2	141882200	141883599
chr4	161748400	161750399
chr10	20498400	20499599
chr2	148018800	148020999
chr14	82281400	82282399
chr13	86456400	86459199
chr2	84207200	84208799
chr16	79476600	79479399
chr1	135577000	135580799
chr9	96723800	96724799
chr9	118788200	118789799
chr10	10326400	10327599
chr15	48262600	48264999
chr16	61379000	61380399
chr1	181549000	181550199
chr17	55745000	55745999
chr16	72080400	72081599
chr18	52447200	52448999
chr5	6125400	6127399
chr12	21895600	21899199
chr6	129370200	129372399
chr14	108922200	108923399
chr18	63340000	63340599
chr15	84162600	84163399
chr11	63026000	63026599
chr4	39806600	39807599
chr4	172097800	172099999
chr17	13836200	13838799
chr5	116517000	116518999
chr12	45989000	45990999
chr3	46644000	46645599
chr3	59106600	59109199
chr10	91227800	91230199
chr1	235100800	235101999
chr8	116008400	116014599
chr10	61200000	61203399
chr14	15022200	15023599
chr17	32926400	32927199
chr1	199291000	199293799
chr19	41318800	41319799
chr16	74942000	74942999
chr9	4088200	4090799
chr4	116767000	116768999
chr18	48458400	48460799
chr7	18000000	18000799
chr3	165246600	165247399
chr15	606400	607999
chr10	6030000	6030799
chr16	9500400	9501399
chr4	81387200	81387599
chr2	250551800	250553399
chr7	17002400	17003799
chr6	46643400	46646599
chr13	107234200	107235399
chr3	94143800	94144599
chr7	34115200	34119199
chr4	4569200	4571799
chr12	26375600	26376999
chr3	157158200	157161399
chr6	7652000	7653199
chr14	97030800	97031999
chr15	85223800	85225399
chr14	77569800	77573599
chr4	98815800	98817999
chr5	79173800	79177199
chr17	57864000	57868399
chr13	112379200	112380199
chr9	83951400	83952399
chr9	89099000	89103199
chr1	178668800	178670999
chr10	18493600	18494599
chr1	29495400	29497199
chr5	62213000	62216199
chr17	4888800	4891799
chr8	37650400	37651399
chr3	72162600	72164999
chr7	142571200	142574599
chr16	79624400	79627599
chr5	150357800	150360999
chr8	128252600	128253999
chr4	86002400	86002999
chr9	103098200	103099199
chr14	91646200	91648999
chr2	1137200	1138199
chr3	169034400	169035399
chr4	84456600	84459599
chr5	49320400	49322399
chr8	108021600	108024999
chr10	91828200	91830999
chr2	203861000	203862199
chr12	18378400	18380399
chr2	112748200	112750799
chr6	29856200	29857799
chr10	71527000	71527799
chr18	47590600	47592399
chr1	204285000	204287399
chr19	15739000	15741999
chr10	38048200	38049799
chr9	119866800	119866999
chr1	128064600	128067199
chr6	112081400	112082599
chr9	90197200	90197599
chr14	6710200	6711599
chr1	199591400	199593399
chr3	113564000	113567599
chr10	97766800	97769599
chr2	164094000	164094999
chr16	19354400	19356199
chr14	109051800	109054199
chr9	15630600	15631799
chr9	4048400	4049199
chr17	18092400	18094799
chr19	55751400	55755599
chr6	103749400	103750999
chr4	77843400	77845399
chr1	64144600	64145799
chr1	260826200	260830199
chr8	122812600	122814999
chr3	54425200	54426599
chr8	47739400	47742599
chr5	158656000	158659399
chr12	6708800	6710399
chr12	51499400	51503399
chr7	119467200	119469599
chr19	42706800	42707999
chr13	85881400	85884799
chr19	1101400	1103399
chr9	86093800	86094799
chr5	3986200	3987399
chr17	33097200	33099199
chr5	136508800	136511799
chr5	133301600	133303999
chr1	264443600	264445199
chr2	251585400	251586599
chr6	74135400	74136999
chr8	63533200	63534399
chr13	105721400	105722999
chr7	61252400	61253599
chr2	218660400	218662399
chr7	104896600	104897599
chr10	11435400	11441799
chr1	86868600	86869599
chr19	40776200	40776799
chr3	117664200	117665599
chr8	13784800	13786799
chr10	95029600	95031599
chr1	33480800	33484399
chr7	27892000	27894199
chr1	275990400	275992599
chr15	108700800	108702999
chrX	61181600	61183399
chr1	266362200	266364399
chr13	82797200	82800999
chr9	45073800	45075999
chr17	55690600	55692599
chr1	236065000	236068999
chr13	15234200	15235399
chr10	41312200	41317199
chr7	36406400	36407399
chr13	33870800	33871799
chr1	216200800	216206599
chr4	151844600	151845799
chr5	161183600	161188999
chr18	57028600	57030199
chr20	29427800	29430399
chr1	140809800	140812399
chr8	67759000	67760799
chr15	106429800	106430799
chr2	250136400	250136999
chr7	66869200	66870399
chr19	20246800	20247999
chr2	197139800	197141399
chr10	82617400	82622599
chr11	34611200	34612799
chr4	144352000	144354399
chr12	19580400	19582199
chrX	19855800	19856799
chr5	142503600	142505599
chr2	104247800	104248599
chr8	3171000	3171399
chr10	45913400	45915599
chr20	41236000	41237399
chr9	42458800	42460199
chr7	138754000	138756999
chr5	145846200	145848199
chr3	69126800	69127599
chr15	49128200	49132399
chr6	139719000	139719399
chr19	26424600	26446599
chr18	57554400	57556599
chr8	85233400	85235999
chr6	138231200	138233199
chr15	103487000	103488399
chr19	58586400	58589799
chr14	87102600	87104599
chr10	103342000	103345199
chr7	62404400	62405999
chr19	58312800	58314999
chr10	43781200	43783999
chr10	92310000	92311399
chr15	5586400	5586999
chr4	86135400	86136199
chr9	114456400	114458599
chr12	12622000	12623399
chr11	81860600	81862799
chr7	134137000	134137999
chr9	122025000	122027799
chr9	20888000	20889199
chr1	136791600	136792799
chr7	134170000	134170999
chr13	41940000	41940799
chr5	136890800	136893199
chr1	148895800	148897999
chr13	85731000	85733199
chr7	121600600	121602199
chr9	72193800	72194999
chr15	106058000	106059999
chr12	37376200	37377999
chr2	7651800	7652799
chr15	109273600	109277999
chr14	83609400	83611199
chr9	118254800	118256999
chr1	276647400	276650599
chr13	98528800	98531199
chr17	9697800	9699999
chr6	137729800	137733799
chr2	13157200	13158999
chr5	143159800	143160599
chr10	70815600	70817799
chr7	142968800	142970599
chr14	60188000	60188999
chr3	73850200	73850999
chr8	13553200	13553999
chr4	139703800	139704799
chr11	86527200	86528999
chr1	74865200	74866199
chr1	209605000	209607999
chr6	138526000	138526199
chr12	44934800	44937999
chr2	189714800	189715999
chr19	14151400	14154199
chr5	135252800	135254599
chr6	8427200	8428599
chr9	100952600	100954199
chr9	66210000	66217199
chr2	57829800	57831599
chr5	119174000	119177799
chr15	8568400	8569999
chr14	21287600	21289199
chr3	171848400	171849799
chr18	51839800	51841199
chr17	44468400	44469199
chr3	64552200	64554799
chr1	199391800	199397599
chr3	100553000	100554799
chr1	194006200	194008199
chr2	85408000	85411199
chr6	128412800	128413399
chr7	69774000	69775399
chr14	29911800	29912799
chr16	21306600	21309999
chr10	35407400	35409399
chr1	119186600	119189199
chr18	74725200	74726999
chr13	39667800	39668399
chr3	149903200	149904799
chr7	92844600	92848799
chr11	75373600	75374799
chr17	23919600	23921799
chr10	9248000	9250999
chr16	54373000	54375999
chr13	101355800	101356799
chr3	6354200	6358399
chr6	146296800	146298599
chr6	137211400	137213799
chr7	25902600	25904599
chr1	44574800	44576199
chr1	68782800	68783999
chr2	113580400	113582799
chr12	24696000	24698799
chr16	14287000	14288999
chr9	1972200	1973199
chr6	12041400	12044399
chr1	217098600	217103799
chr6	50435400	50437199
chr7	127894600	127895999
chr15	64587200	64589799
chr4	149299600	149301199
chr1	131847600	131850399
chr13	97887200	97891999
chr1	48661600	48665199
chr2	225907400	225908799
chr4	46011600	46012399
chr9	111660600	111661599
chr14	32753400	32755799
chr6	95821800	95823199
chr8	127838000	127843799
chr5	71490000	71491799
chr3	128508400	128510399
chr17	56130000	56132199
chr17	10608400	10610999
chr10	102967600	102968399
chr5	149623400	149626599
chr3	126143600	126146599
chr5	59311800	59313799
chr5	146049800	146051799
chr13	104116200	104117399
chr6	102258200	102261799
chr2	172566600	172568199
chr3	13097600	13098199
chr5	161926600	161928799
chr10	42849000	42851799
chr6	48926600	48929399
chr1	196347200	196350199
chr17	17874000	17875399
chr3	170375400	170376799
chr19	58215000	58216999
chr10	84611800	84613399
chr4	126279600	126280599
chr11	73288800	73291799
chr16	75970400	75972999
chr9	9687000	9691999
chr7	125470600	125472599
chr18	73651800	73652799
chr12	45808200	45809999
chr2	185812600	185814399
chr1	148663600	148665399
chr6	99630200	99631199
chr13	35626200	35626999
chr4	82897800	82898599
chr5	25631800	25635399
chr8	110620000	110622999
chr17	90245400	90247599
chr1	80508600	80513799
chr17	84757600	84758799
chr2	250578000	250580599
chr1	143009800	143011999
chr2	119543200	119543999
chr14	48511800	48512399
chr4	76065000	76065999
chr17	9280400	9281999
chr10	1557400	1558199
chr16	75634800	75635799
chr10	16614800	16617799
chr13	107936000	107936999
chr2	123790400	123791199
chr3	35702000	35703399
chr1	177330200	177331799
chrX	103994800	103995199
chr2	25212600	25214199
chr6	61094400	61095199
chr2	49450000	49452399
chr3	171047400	171049599
chr14	35063800	35067199
chr16	78158200	78159799
chr2	124020400	124022599
chr9	13696200	13701199
chr2	123337400	123338399
chr7	53881400	53882599
chr10	10165400	10174599
chr1	72692400	72693799
chr12	41820600	41821999
chr7	67065000	67067399
chr5	77589400	77590599
chr9	97258000	97260999
chr10	75642400	75645399
chr20	6299800	6301999
chr19	12836000	12836999
chr1	202453800	202456999
chr12	35263000	35266999
chr17	45647400	45649599
chr8	115519000	115520399
chr14	11552800	11554999
chr9	20573800	20579199
chr5	15387600	15388199
chr4	174958400	174959799
chr10	20849800	20851399
chr2	7463400	7464399
chr11	30546400	30547999
chr7	136273400	136274399
chr7	32228800	32232599
chr3	160060400	160062199
chr9	93324800	93332599
chr9	99870200	99871199
chr3	176122000	176124599
chr18	4045400	4047599
chr7	654800	658399
chr5	158267000	158267599
chrX	128676600	128677199
chr5	113093000	113093799
chr9	60593000	60593799
chr17	60091000	60093199
chr4	158288200	158289399
chr14	73739200	73743399
chr8	2019400	2020999
chr17	70204600	70206599
chr5	104279000	104280999
chr11	32902800	32904599
chr14	11718200	11719799
chr11	32993200	32994199
chr10	15394200	15395399
chr4	1130400	1132199
chr10	75108200	75109399
chr19	31288200	31289399
chr18	74301800	74303599
chr18	72869600	72870599
chr11	73256600	73258799
chr2	182516200	182516999
chr19	40616200	40618199
chr18	57392400	57394199
chr8	53518000	53519399
chr19	11141400	11144999
chr7	58972400	58973799
chr8	113973200	113974199
chr1	81981600	81983399
chr8	119689400	119691599
chr12	31848600	31849999
chr7	13506200	13508199
chr1	99940400	99944199
chr1	191580800	191583799
chr2	128194200	128195199
chr3	123125400	123127199
chr11	69508400	69508999
chr18	80052400	80053599
chr1	46881400	46884399
chr1	157630000	157632399
chr14	43046200	43047199
chr13	101215600	101218999
chr4	51019600	51019999
chr4	167505400	167507199
chr4	113282600	113284399
chr13	92312800	92313799
chr3	79260600	79261799
chr12	15022000	15025599
chr3	161369000	161370999
chr8	19784600	19785199
chr4	167910600	167911399
chr17	12046400	12048599
chr6	138143600	138147199
chr4	9104600	9105599
chr3	61916200	61917799
chr7	115714400	115717399
chr14	35248800	35253999
chr13	42740400	42741999
chr6	143176400	143177799
chr15	34809600	34814599
chr3	12627200	12631799
chr8	50671800	50673399
chr9	3784400	3784999
chr14	92150800	92151799
chr15	46212800	46215599
chr5	77122600	77122999
chr17	42356200	42358799
chr8	98971400	98973399
chr5	102858000	102858599
chr4	70707200	70709199
chr8	106137600	106138599
chr1	174154600	174155799
chr17	23344000	23345399
chr11	36234400	36238199
chr20	54827200	54827999
chr2	94964800	94967799
chr8	44362400	44363999
chr15	35102000	35103799
chr1	218614800	218615999
chr3	104643600	104644599
chr9	100241600	100242999
chr15	253800	255799
chr15	60644600	60645399
chr1	93182600	93184599
chr20	18710000	18712799
chr16	57183400	57184199
chr11	86566400	86567399
chr3	86005400	86007399
chr13	107246800	107248399
chr17	7626400	7628599
chr2	204187200	204188399
chr1	56679400	56681799
chr3	152489000	152490799
chr1	79114000	79115799
chr6	112559000	112559999
chr5	111048400	111049399
chr10	9363000	9364599
chr1	118355000	118355799
chr8	29264800	29268599
chr3	13766200	13768999
chr4	76968600	76970399
chr2	260712000	260713799
chr2	85545200	85546399
chr10	56836200	56839799
chr6	87068400	87069399
chr9	4783600	4784599
chr1	196559400	196560999
chr13	34233800	34234199
chr14	3384600	3386599
chr1	270377400	270378399
chr8	48197800	48199599
chr4	115860200	115862399
chr5	15904000	15905399
chr2	257080600	257081599
chr10	46861800	46863999
chr8	31861200	31862399
chr15	27679000	27680599
chr1	194233400	194235599
chr7	122303600	122304599
chr19	43300000	43305399
chr7	122258200	122264799
chr13	84704800	84707399
chr3	114251200	114253799
chr4	89067800	89069199
chr20	47322800	47323999
chr3	122303200	122305999
chr4	77611400	77612599
chr1	144311600	144313799
chr2	125300800	125303599
chr1	174349400	174350599
chr4	160576000	160580599
chr15	45550000	45551599
chr6	59226600	59226999
chr14	83287200	83288599
chr1	31024400	31026399
chr9	39062000	39062999
chr20	44616200	44617999
chr1	244706800	244709199
chr19	50702800	50704599
chr9	42633600	42636999
chr13	32738600	32739199
chr1	255649400	255651199
chr7	137394400	137396799
chr20	9084600	9089199
chr13	69957800	69959599
chr2	71429600	71430799
chr10	83549400	83551599
chr14	28147000	28147799
chr7	37183200	37184399
chr2	21194400	21196399
chr9	6301600	6302799
chr13	108973600	108978399
chr20	28139000	28140199
chrX	148519600	148521199
chr17	87526000	87527599
chr11	71580200	71582599
chr6	6972200	6973999
chr11	70855600	70856399
chr8	53256600	53257399
chr20	7982600	7984599
chr17	23816200	23818599
chr2	70021000	70021599
chr2	29559400	29560599
chr4	104270200	104271799
chr5	118037800	118041999
chr10	6621000	6623599
chr18	17303200	17306199
chr13	36961200	36964399
chr17	90653200	90654999
chr20	50688600	50689199
chr18	47228800	47229399
chr1	150855800	150857799
chr13	75996200	75998199
chr4	146643600	146645199
chr10	30719600	30722399
chr2	30177800	30179199
chr4	111254600	111255399
chr5	88340400	88342999
chr12	43502800	43504599
chr9	1597000	1598599
chr4	146876400	146879199
chr3	48298000	48299399
chr12	7635000	7636399
chr1	59560600	59561999
chr4	169538200	169539199
chr19	58616600	58621599
chr10	81983400	81985999
chr8	111940800	111942399
chr3	60404200	60405599
chr7	112692400	112694199
chr17	27536200	27537599
chr1	126914200	126915399
chr4	123947600	123948999
chr18	81537400	81538799
chr1	165505200	165507599
chr2	159849200	159850799
chr1	107501000	107501599
chr10	20350200	20351999
chr11	73525800	73529599
chr1	75318200	75319399
chr17	12462600	12464599
chr4	147499000	147500199
chr1	105592000	105593799
chr2	120855600	120856999
chr9	18911200	18912799
chr2	174762200	174763399
chr4	140380600	140382599
chr5	148312600	148314799
chr8	39459600	39462399
chr4	140842800	140844399
chr18	57479400	57479999
chr19	21213200	21215999
chr2	182232600	182233999
chr11	23845600	23847199
chr1	167794200	167795399
chr4	101148400	101149799
chr8	107059400	107060399
chr4	79777400	79778799
chrX	57162200	57163799
chr1	177573400	177580999
chr6	94685200	94686799
chr14	7845200	7846799
chr2	88918000	88919199
chr1	229204600	229205999
chr12	984000	984999
chr13	101293800	101298999
chr1	86970800	86972599
chr17	30633600	30634599
chr1	101012800	101019799
chr10	88714200	88715399
chr10	100955600	100956999
chr5	122289600	122290199
chr3	163306000	163312399
chr2	157446000	157446999
chr1	262045800	262047599
chr6	49208000	49208799
chr7	135073800	135075799
chr19	26448800	26463199
chr13	99267200	99272999
chr6	105971800	105974199
chr1	98222600	98224999
chrX	18744400	18745199
chr1	161516000	161516799
chr13	95732000	95736799
chr4	152755800	152759399
chr5	63710200	63711599
chr12	37878800	37880399
chr13	53081800	53085399
chr1	158076200	158078399
chr10	18472000	18474599
chr15	45327400	45330199
chr1	167980000	167981599
chr2	231109800	231111599
chr5	48933000	48935799
chr8	38053800	38054999
chr1	280057400	280061599
chr2	120256800	120257799
chr6	60643600	60645599
chr7	113528400	113528999
chr12	2671800	2674399
chr2	173118000	173118399
chr16	61011200	61014799
chr2	228297200	228297799
chr20	48135200	48136599
chr16	60424400	60428199
chr1	277289200	277292399
chr1	126390200	126391199
chr10	53299600	53301599
chr4	146688600	146690799
chr14	21366200	21367999
chr4	84209400	84212399
chr1	22339600	22340199
chr9	4850000	4851199
chr1	214187200	214188599
chr3	95091400	95094399
chr4	140713000	140713999
chr4	10763400	10765199
chr6	110666400	110667199
chr19	39135200	39137799
chr8	52078000	52079199
chr5	63622200	63623399
chr1	15867800	15868799
chr4	177072800	177073599
chr2	236279400	236281999
chr10	31271000	31273399
chr10	71217800	71218999
chr5	169576400	169577999
chr1	26397600	26398799
chr17	31286600	31288999
chr1	115306000	115307999
chr2	39042600	39043999
chr10	88168200	88169199
chr4	160649400	160652799
chr11	37470600	37473599
chr9	84231600	84233399
chr9	99038400	99040999
chr10	2699200	2700399
chr10	42420000	42422399
chr10	64807600	64810799
chr7	141477400	141478999
chr5	42081600	42082799
chr6	27453000	27454999
chr10	89086800	89088799
chr15	59460200	59461999
chr5	145303200	145305399
chr7	126221800	126222799
chr12	33222400	33223199
chr3	148562400	148564999
chr4	121016400	121016999
chr1	144731200	144734599
chr18	14180200	14180799
chr3	154353400	154362999
chr18	79994800	79999199
chr7	104191400	104192999
chr2	23615200	23615799
chr17	63276400	63277999
chr1	105211400	105213399
chr4	5986000	5986799
chr8	51103800	51105799
chr1	80767800	80769599
chr5	161081400	161082199
chr11	8777600	8778599
chr3	148196400	148198999
chr8	125901600	125902599
chr15	7121400	7123799
chr20	8698000	8700199
chr4	112640600	112643199
chr20	50796400	50796999
chr2	123591000	123592799
chr2	244116600	244121799
chr5	169360800	169362599
chr12	25199200	25200599
chr2	39649000	39650199
chr4	154868800	154869799
chr1	8211400	8214399
chr2	33578000	33579799
chr1	112508600	112509799
chr6	76246000	76252599
chr5	150256800	150258999
chr8	106451800	106456999
chr6	138812400	138816199
chr11	33936600	33938599
chr13	37468600	37469599
chr3	171677800	171680599
chr12	50804400	50806199
chr5	66181800	66182799
chr5	47066000	47068799
chr5	116554600	116555999
chr2	211127600	211128799
chr8	47693400	47693999
chr13	69770200	69771199
chr16	46055400	46057199
chr2	104707400	104708399
chr18	57093600	57096799
chr8	57968200	57969599
chr13	8426000	8426599
chr2	2931000	2932799
chr5	28239600	28240999
chr1	11646800	11647999
chr3	14473400	14475999
chr10	66521600	66524599
chr3	62142600	62145599
chr18	29534800	29536199
chr19	35699800	35700599
chr5	21459400	21460799
chr3	161764200	161765399
chr5	149933600	149936399
chr19	2736800	2738599
chr8	71922000	71927399
chr7	63546600	63549199
chr1	100044200	100045799
chr12	20457600	20459199
chr4	177430000	177430999
chr7	124102400	124104599
chr2	140589800	140591599
chr18	8052800	8053799
chr16	4170600	4172399
chr8	111182200	111188599
chr3	63761800	63763599
chr9	96592200	96592799
chr16	73839200	73845199
chr11	86620400	86623999
chr1	276991800	276992799
chr1	252744800	252745399
chr7	30163000	30166399
chr5	169369000	169370199
chr4	43397000	43397399
chr5	9069400	9071199
chr4	110676400	110677399
chr13	90899600	90902799
chr18	5321200	5323999
chr4	127909400	127911399
chr14	45906200	45907799
chr1	199635200	199637399
chr17	77272600	77273599
chr18	71796800	71798799
chr12	9282000	9282799
chr16	5483400	5484999
chr10	6976600	6978199
chr4	34772200	34774999
chr1	70920400	70920999
chr11	14654600	14656599
chr5	102551400	102552999
chr19	49554000	49557799
chr6	106531400	106533199
chr8	82555000	82555799
chr19	42049200	42052399
chr9	2916200	2922799
chr1	164055800	164058799
chr11	71199800	71201999
chr10	3338000	3340799
chr20	5984800	5987399
chr17	81722800	81724999
chr3	95661400	95664399
chr6	15501000	15502199
chr6	133023800	133024599
chr1	90335800	90337399
chr5	2470200	2471799
chr4	130211200	130214399
chr17	85802000	85804199
chr2	261379600	261380799
chr17	55557800	55558999
chr2	258943600	258945799
chr1	274384400	274386599
chr5	3304400	3307399
chr19	10541200	10543399
chr6	32729200	32730999
chr2	6484000	6484799
chr13	3697800	3698399
chr8	59666600	59669999
chr1	114703200	114703599
chr1	20084400	20084999
chr2	22418600	22421599
chr17	34850200	34853799
chr7	54798200	54798999
chr4	180069800	180071199
chr14	34643400	34646199
chr16	79490400	79495799
chr14	19060600	19063799
chr5	165135800	165139999
chr19	38170200	38172399
chr17	14272600	14274199
chr17	71937400	71938399
chr2	196442000	196443599
chr4	2644200	2645799
chr3	154831600	154833399
chr8	106079800	106080799
chr4	79426800	79428599
chr2	121985000	121985999
chr1	127566000	127568199
chr17	7743400	7754799
chr3	40442800	40442999
chr8	110692400	110695999
chr4	60077200	60084199
chr2	64188800	64189999
chr12	15948000	15949799
chr1	134590200	134592199
chr20	14099200	14100799
chr4	161658600	161661399
chr20	9973800	9979399
chr3	114766000	114768399
chr1	161718800	161722199
chr7	9412000	9412999
chr1	196667600	196669599
chr14	22077000	22077999
chr13	98791400	98792399
chr15	25723600	25725599
chr1	205751800	205752599
chr1	126857200	126859199
chr15	2856800	2860199
chr4	127423600	127425199
chr9	97895400	97896999
chr7	96582600	96583399
chr3	124173400	124174399
chr2	3946200	3947799
chr1	90502400	90508599
chr5	119827400	119829999
chr12	20742800	20744199
chr2	187524800	187526599
chr8	22524000	22528999
chr5	60148200	60151199
chr20	26014000	26015199
chr3	113574200	113575399
chr5	60696200	60697799
chr16	81454600	81457199
chr17	88505200	88505799
chr2	38287800	38288599
chr2	200553400	200555199
chr9	37837200	37838599
chr14	89010600	89012399
chr5	104919800	104923799
chr7	26896800	26898599
chr20	44439800	44442399
chr6	102331400	102333399
chr12	27332800	27335599
chr17	2220200	2220799
chr7	124428800	124429399
chr16	77715800	77717399
chr4	85653200	85656199
chr16	8647400	8649199
chr1	201453600	201455199
chr10	40810200	40811799
chr11	65160000	65162799
chr18	18854600	18855199
chr13	74174200	74175999
chr3	134555600	134556399
chr20	6406200	6407799
chr16	56306400	56307599
chr18	59335000	59337599
chr6	133864000	133870199
chr2	230928800	230930399
chr1	48191600	48195199
chr8	28581800	28585199
chr17	13741200	13742799
chr6	127248000	127250599
chr4	175315800	175316999
chr6	106757200	106759599
chr8	94746200	94749399
chr9	49242600	49243599
chr3	59463400	59466399
chr7	102126600	102127199
chr11	16972200	16972599
chr10	109482800	109488799
chr20	27790800	27795999
chr1	275898600	275899799
chr11	43086200	43087999
chr10	71211800	71213399
chr1	101768600	101770999
chr7	124472000	124475799
chr10	84167000	84169799
chrX	113574000	113574999
chr1	169781400	169781999
chr8	122566600	122568599
chr4	21329000	21329799
chr13	98475200	98478399
chr6	144660800	144661799
chr2	24352000	24353199
chr9	112183000	112184999
chr13	73106200	73108199
chr19	25067800	25071599
chr1	56356000	56357999
chr11	69749400	69750999
chr1	226276000	226277799
chr4	97969200	97970999
chr1	99770600	99771999
chr2	149919000	149919999
chr8	6126400	6127999
chr3	165410800	165411399
chr5	119702800	119705399
chr10	83049400	83052599
chr8	76606400	76607199
chr7	117463400	117465199
chr1	266304400	266308199
chr3	151481400	151484399
chr10	59705400	59706199
chr11	31815600	31816999
chr9	46448400	46450399
chr19	14731200	14734999
chr7	117445800	117447199
chr6	3090200	3093999
chr2	144747600	144750199
chr5	149981600	149986799
chr2	182830000	182831799
chr3	9152400	9153599
chr16	85295200	85298399
chr5	28594800	28596399
chr3	155682800	155684199
chr13	7205400	7206599
chr2	251538000	251541399
chr7	14269200	14269999
chr16	16841400	16843199
chr17	71890400	71891999
chr1	177034400	177038399
chr6	7371800	7373799
chr7	59678800	59681599
chr4	70933600	70934399
chr16	67629400	67631399
chr3	139201400	139203199
chr14	91282400	91283999
chr20	19958800	19961999
chr4	158879400	158880599
chr5	113897600	113898999
chr2	112400200	112402399
chr18	17677200	17680199
chr8	78102800	78105399
chr4	148958800	148962199
chr8	115271200	115273799
chr7	26877200	26878799
chr5	56441000	56442199
chr5	145248000	145249199
chr19	56443600	56445199
chrX	79545000	79546999
chr8	71196800	71198399
chr14	79876800	79878799
chr8	121944400	121944999
chr15	32718200	32720999
chr10	62109400	62112799
chr1	32124800	32126199
chr14	42004400	42006599
chr16	8860600	8863799
chr2	85039000	85040199
chr6	6866800	6868399
chr16	68856600	68860799
chr7	128595600	128602599
chr19	11143400	11144599
chr1	175608000	175609799
chr9	112159600	112161399
chr6	111607800	111609399
chr1	151338200	151339199
chr7	33854400	33856399
chr18	78050200	78052799
chr3	112123400	112124999
chr4	79612000	79613599
chr1	7891600	7893399
chr8	45152800	45154599
chr1	222184200	222185599
chr5	71729400	71730399
chr10	10790800	10797599
chr10	64572800	64575599
chr6	128710400	128713799
chr2	142369800	142371199
chr12	49724000	49725799
chr2	189252200	189253799
chr2	127431800	127434199
chr7	138555200	138558999
chr11	12500800	12501999
chr3	493600	496999
chr17	48049200	48049999
chr3	160086400	160088799
chr3	118070800	118072799
chr4	120991000	120994399
chr1	100811400	100812999
chrX	73536200	73540599
chr6	129754000	129755799
chr3	81962800	81965799
chr10	11922200	11922999
chr14	84081400	84083999
chr7	77258800	77261999
chr13	70065800	70068599
chr10	110960400	110961599
chr14	26872400	26872999
chr18	70910200	70912399
chr6	131318200	131322399
chr8	25094600	25095999
chr17	20618400	20619999
