Chromosome	Gene-Start	Gene-End	Gene-ID	Gene-Name	Peaks-on-Gene-Body	Mean-Distance-of-Gene-to-Nearest-Peaks	sd	Number-of-Peaks-Associated-with-Gene
1	176295693	176609866	ENSRNOG00000017021	Galnt18	9	10126.3636363636	25394.4293193319	11
1	185670777	186183329	ENSRNOG00000020514	Sox6	9	1713.72727272727	3841.41838624509	11
1	209234833	209464690	ENSRNOG00000016038	Mgmt	9	6442.72727272727	15826.1883224667	11
4	115710450	115902373	ENSRNOG00000032788	Dysf	9	5896	15252.1453966319	11
15	24939818	25084431	ENSRNOG00000012363	Peli2	9	3762.72727272727	9726.96262037548	11
1	218816341	218922494	ENSRNOG00000015911	Lrp5	9	770.7	2437.16739269177	10
3	56353031	56585047	ENSRNOG00000030022	Myo3b	9	2883.3	9117.79517756349	10
4	83388883	83836851	ENSRNOG00000008622	Creb5	9	3835	12127.3348267457	10
6	22693997	23204275	ENSRNOG00000008683	Alk	9	12579.9	39781.1367371522	10
8	124661339	125648298	ENSRNOG00000025881	Rbms3	9	4510.3	14262.8209306574	10
9	12738485	12942858	ENSRNOG00000011321	Rftn1	9	1568.7	4960.66496550614	10
14	88673381	88888598	ENSRNOG00000025695	Tns3	9	1298.3	4105.58508619661	10
17	48303822	48565305	ENSRNOG00000012490	LOC100909679	9	1082.4	3422.84933936625	10
1	98915367	99148438	ENSRNOG00000043280	Vom2r38	9	0	0	9
1	178634144	178935551	ENSRNOG00000058003	Spon1	9	0	0	9
1	215057117	215425499	ENSRNOG00000046649	Krtap5-2	9	0	0	9
3	35269386	35437796	ENSRNOG00000004614	Lypd6b	9	0	0	9
3	45681593	45918245	ENSRNOG00000025394	Tanc1	9	0	0	9
5	62275600	62624137	ENSRNOG00000008431	Gabbr2	9	0	0	9
10	54761371	54969985	ENSRNOG00000003947	Ntn1	9	0	0	9
12	40016537	40219791	ENSRNOG00000001259	Cux2	9	0	0	9
12	49417182	49561538	ENSRNOG00000052424	2900026A02Rik	9	0	0	9
13	110918337	111232769	ENSRNOG00000003841	Kcnh1	9	0	0	9
18	51844476	52020134	ENSRNOG00000023013	March3	9	0	0	9
13	34828639	35050844	ENSRNOG00000007261	Gli2	8	44194.25	63059.1168978232	16
12	32807522	33019285	ENSRNOG00000000963	Tmem132c	8	10655.3333333333	20864.6222601946	12
12	8111167	8421366	ENSRNOG00000032410	Mtus2	8	22936.8181818182	41464.2783171688	11
13	96774857	97175869	ENSRNOG00000028624	Kif26b	8	7926.90909090909	14582.22447677	11
1	104574189	104942052	ENSRNOG00000014530	Nav2	8	8758.2	18708.7700456824	10
8	65119246	65404675	ENSRNOG00000051285	Rn50_8_0651.1	8	9969.6	25385.4660220283	10
1	161399127	161881423	ENSRNOG00000011151	Tenm4	8	1258.77777777778	3776.33333333333	9
4	145702546	146018725	ENSRNOG00000030269	Atp2b2	8	3075.11111111111	9225.33333333333	9
5	143498041	143716046	ENSRNOG00000008992	Grik3	8	4106.11111111111	12318.3333333333	9
10	23658613	24050709	ENSRNOG00000028845	Ebf1	8	1499.11111111111	4497.33333333333	9
10	68248155	68519964	ENSRNOG00000058308	Asic2	8	3448.55555555556	10345.6666666667	9
10	108525340	108625188	ENSRNOG00000029658	Rnf213	8	638	1914	9
12	50088064	50242495	ENSRNOG00000025612	Sez6l	8	2762.88888888889	8288.66666666667	9
14	78129249	78214331	ENSRNOG00000007025	Evc2	8	827.888888888889	2483.66666666667	9
20	30040961	30266142	ENSRNOG00000061835	AABR07044980.1	8	151.444444444444	454.333333333333	9
1	143442800	143537983	ENSRNOG00000061450	Homer2	8	0	0	8
1	185354575	185539194	ENSRNOG00000024602	Plekha7	8	0	0	8
3	62818002	63214245	ENSRNOG00000024457	Cyct	8	0	0	8
4	158221600	158577478	ENSRNOG00000023561	LOC100361584	8	0	0	8
5	155021993	155206856	ENSRNOG00000012531	Ephb2	8	0	0	8
5	171469873	171621447	ENSRNOG00000000156	LOC100911486	8	0	0	8
9	4079057	4281294	ENSRNOG00000031833	RGD1562392	8	0	0	8
10	45337509	45483408	ENSRNOG00000058068	Obscn	8	0	0	8
10	74547770	74682258	ENSRNOG00000024730	Ppm1e	8	0	0	8
10	102302528	102579278	ENSRNOG00000024711	Sdk2	8	0	0	8
12	9031908	9206405	ENSRNOG00000000940	Flt1	8	0	0	8
14	8382714	8602912	ENSRNOG00000056944	Arhgap24	8	0	0	8
14	22190570	22620468	ENSRNOG00000001973	Ugt2a1	8	0	0	8
15	39999822	40431200	ENSRNOG00000008053	Atp8a2	8	0	0	8
15	103696057	103929992	ENSRNOG00000010064	Abcc4	8	0	0	8
18	77203025	77325090	ENSRNOG00000017146	Nfatc1	8	0	0	8
4	178065665	178443947	ENSRNOG00000027869	Sox5	7	17228.9230769231	24184.5365762972	13
11	37458231	37601808	ENSRNOG00000061472	AABR07033720.1	7	15286	28468.3401723154	13
16	21954668	22119234	ENSRNOG00000059091	AABR07024932.1	7	11924.1538461538	18789.0184986078	13
1	243274003	243399036	ENSRNOG00000016023	Kank1	7	6158.75	11179.3856809999	12
3	6209389	6296408	ENSRNOG00000009446	Rxra	7	5469.81818181818	9020.56672075743	11
17	70971415	71107686	ENSRNOG00000019057	Prkcq	7	20051.4545454545	39215.4930719063	11
20	31456352	31600518	ENSRNOG00000000552	Col13a1	7	6115.81818181818	11106.2507518801	11
6	21203002	21602851	ENSRNOG00000033090	Ltbp1	7	5570.4	14760.2930353326	10
9	69494721	69612587	ENSRNOG00000031232	Nrp2	7	847.555555555556	2188.26524392675	9
9	113008292	113248945	ENSRNOG00000031348	Tmem232	7	4154.22222222222	10497.6974353638	9
12	20943436	21079939	ENSRNOG00000047568	LOC686837	7	8791.55555555555	19471.9691037598	9
20	12222802	12333358	ENSRNOG00000001229	Col18a1	7	4734.22222222222	10860.6232070008	9
1	90541596	90687657	ENSRNOG00000022919	Chst8	7	1343	3798.57762853413	8
1	274389532	274590316	ENSRNOG00000014705	Rbm20	7	435.625	1232.13356621756	8
2	61036653	61341197	ENSRNOG00000018865	Adamts12	7	81.875	231.577470838594	8
2	260247166	260536221	ENSRNOG00000042332	Slc44a5	7	647.5	1831.40656327316	8
3	2967690	3212410	ENSRNOG00000048417	LOC103691751	7	136.5	386.080302527855	8
4	158086105	158220023	ENSRNOG00000019689	Vwf	7	1113.375	3149.10005001429	8
6	138054162	138664911	ENSRNOG00000034190	Ighm	7	1595.5	4512.75547753255	8
7	142573272	142684614	ENSRNOG00000005309	Scn8a	7	5284.25	14946.1160339401	8
9	81193619	81403387	ENSRNOG00000014182	Tns1	7	4227.625	11957.5292232551	8
14	77065103	77193202	ENSRNOG00000005302	Slc2a9	7	249.875	706.753227795954	8
16	84574650	84941723	ENSRNOG00000016483	Myo16	7	6059.75	17139.5612691807	8
1	100057567	100203829	ENSRNOG00000032857	Klk1c9	7	0	0	7
1	201053244	201330122	ENSRNOG00000020457	Tacc2	7	0	0	7
1	216290687	216630839	ENSRNOG00000020532	Kcnq1	7	0	0	7
1	246380389	246787760	ENSRNOG00000014768	Glis3	7	0	0	7
3	121232719	121342944	ENSRNOG00000017319	Mertk	7	0	0	7
4	179650664	179907244	ENSRNOG00000015910	Lmntd1	7	0	0	7
8	129631649	129921520	ENSRNOG00000019271	Ulk4	7	0	0	7
10	107028966	107161397	ENSRNOG00000003028	Dnah17	7	0	0	7
12	16407683	16720324	ENSRNOG00000001265	Mad1l1	7	0	0	7
13	67799291	68363064	ENSRNOG00000028627	Hmcn1	7	0	0	7
14	79536511	79912833	ENSRNOG00000007033	Sorcs2	7	0	0	7
16	83386864	83440961	ENSRNOG00000023972	Col4a2	7	0	0	7
19	25821280	25917096	ENSRNOG00000002983	Nfix	7	0	0	7
19	50042620	50173720	ENSRNOG00000051986	Plcg2	7	0	0	7
20	9310871	9561182	ENSRNOG00000000542	Dnah8	7	0	0	7
13	42265306	42887840	ENSRNOG00000021553	Nckap5	6	72563.6153846154	83704.71523809	13
5	102415347	102788731	ENSRNOG00000006553	Bnc2	6	34084.5833333333	37204.8154910046	12
4	133716639	133953664	ENSRNOG00000057556	Pdzrn3	6	24764.0909090909	34112.910489885	11
19	19435833	19511487	ENSRNOG00000014293	Nkd1	6	15481	24050.7967394014	11
3	6427801	6579382	ENSRNOG00000008749	Col5a1	6	15467.6666666667	24917.2551106658	9
4	160530220	160665374	ENSRNOG00000051620	Tspan9	6	6531.75	13201.4620050746	8
5	149921852	149998734	ENSRNOG00000013515	Ptpru	6	8038.5	15360.6155661623	8
7	113681293	114308296	ENSRNOG00000027569	Trappc9	6	5148.75	10903.8069203899	8
7	142394971	142464658	ENSRNOG00000028879	Slc4a8	6	6789.5	15761.380903969	8
9	19121177	19375073	ENSRNOG00000047218	Clic5	6	13919.75	25803.6723895207	8
9	63456283	63643800	ENSRNOG00000010188	Satb2	6	14225.25	31319.4729510024	8
18	864648	1053106	ENSRNOG00000016366	Colec12	6	6237.5	11604.0248559344	8
1	35065090	35199439	ENSRNOG00000016812	Adamts16	6	1098.85714285714	2907.30272638698	7
1	235164318	235348437	ENSRNOG00000014840	Gna14	6	731.428571428572	1935.17810180724	7
4	49053610	49333804	ENSRNOG00000021840	Cped1	6	1771	4685.62557189539	7
5	16523658	16643148	ENSRNOG00000008180	Lyn	6	2693.28571428571	7125.76420964296	7
5	133218739	133421144	ENSRNOG00000029141	Trabd2b	6	6351	16803.1665765712	7
8	11929367	12251599	ENSRNOG00000005879	Maml2	6	1771.71428571429	4687.51539426044	7
8	49735398	50056060	ENSRNOG00000016502	Dscaml1	6	571.428571428571	1511.85789203691	7
10	63989144	64110954	ENSRNOG00000061429	Rph3al	6	2606.71428571429	6896.71773899937	7
12	22832619	22981103	ENSRNOG00000001422	Col26a1	6	260.142857142857	688.273305349803	7
14	34725223	34787683	ENSRNOG00000046829	Kdr	6	5245.42857142857	13878.0995199528	7
14	45598243	45800287	ENSRNOG00000002180	Tbc1d1	6	11006.4285714286	29120.2728229959	7
14	89382112	89715417	ENSRNOG00000025645	Abca13	6	369.142857142857	976.660198255843	7
17	7673131	7798363	ENSRNOG00000012747	Spock1	6	862.571428571429	2282.14948802971	7
1	222308520	222451984	ENSRNOG00000021174	Macrod1	6	0	0	6
2	24719476	24925528	ENSRNOG00000010280	Pde8b	6	0	0	6
2	60545591	60685851	ENSRNOG00000028872	Rai14	6	0	0	6
2	142747001	142888004	ENSRNOG00000021670	Frem2	6	0	0	6
2	227255402	227414364	ENSRNOG00000014867	Synpo2	6	0	0	6
3	1739524	1927227	ENSRNOG00000004560	Cacna1b	6	0	0	6
3	91291375	91372567	ENSRNOG00000004666	Prr5l	6	0	0	6
4	4020508	4475707	ENSRNOG00000030547	Dpp6	6	0	0	6
4	10017949	10167523	ENSRNOG00000043035	Fbxl13	6	0	0	6
4	22133021	22427915	ENSRNOG00000008012	Abcb4	6	0	0	6
4	70570542	70821760	ENSRNOG00000033815	AC142181.1	6	0	0	6
4	100936478	101158976	ENSRNOG00000015581	Dnah6	6	0	0	6
5	77404642	77905513	ENSRNOG00000050595	LOC100912565	6	0	0	6
7	24042626	24316285	ENSRNOG00000005758	Btbd11	6	0	0	6
9	43605269	43779963	ENSRNOG00000023566	Vwa3b	6	0	0	6
9	44839460	45294447	ENSRNOG00000018830	Aff3	6	0	0	6
10	35390362	35459767	ENSRNOG00000003005	Rasgef1c	6	0	0	6
10	38102158	38532696	ENSRNOG00000006565	Fstl4	6	0	0	6
11	88422014	88509101	ENSRNOG00000025787	Spag6	6	0	0	6
12	44213443	44522741	ENSRNOG00000001130	Nos1	6	0	0	6
12	49624471	49746772	ENSRNOG00000059456	Adrbk2	6	0	0	6
13	94024869	94357619	ENSRNOG00000003997	Pld5	6	0	0	6
13	101179594	101308408	ENSRNOG00000003562	Susd4	6	0	0	6
14	76654911	76833661	ENSRNOG00000051169	Clnk	6	0	0	6
15	29679515	29867936	ENSRNOG00000046197	AABR07017658.1	6	0	0	6
15	108605804	108838735	ENSRNOG00000014075	Clybl	6	0	0	6
16	1996040	2050692	ENSRNOG00000040205	Zcchc24	6	0	0	6
17	11951152	12134886	ENSRNOG00000053232	Ror2	6	0	0	6
18	57053447	57116945	ENSRNOG00000019403	Afap1l1	6	0	0	6
18	70424607	70729530	ENSRNOG00000014104	Myo5b	6	0	0	6
20	4301847	4510614	ENSRNOG00000000443	C4a	6	0	0	6
2	23768321	23852521	ENSRNOG00000011032	Lhfpl2	5	43421.9285714286	42683.6256020147	14
4	124659762	124860650	ENSRNOG00000023257	Adamts9	5	35796.8	48491.8549834231	10
6	42999548	43109571	ENSRNOG00000005492	Hpcal1	5	13667	18439.8276986407	10
11	29932663	30053503	ENSRNOG00000021569	Tiam1	5	31635.8	37531.6418914316	10
1	2333278	2630147	ENSRNOG00000016381	Ust	5	36166	47371.5448766451	9
5	74248496	74370586	ENSRNOG00000011425	Ptpn3	5	27282.5555555556	39658.2994785175	9
5	78804207	78967313	ENSRNOG00000006719	Zfp618	5	26648.4444444445	49383.9807050604	9
9	116650130	116981672	ENSRNOG00000025273	L3mbtl4	5	25880.8888888889	44059.73162777	9
1	52359796	52546850	ENSRNOG00000011310	Pde10a	5	28131.625	49741.3179816696	8
3	28624684	29236719	ENSRNOG00000031168	Arhgap15	5	13856.25	22352.5528471742	8
3	165244738	165362692	ENSRNOG00000012175	Nfatc2	5	6873.625	9841.07801785818	8
4	66444766	66627312	ENSRNOG00000007034	Hipk2	5	1418.25	2604.48518356864	8
4	173729848	174102996	ENSRNOG00000034228	Pik3c2g	5	8943.75	15095.4211955622	8
9	15065999	15125818	ENSRNOG00000022804	Foxp4	5	9775.375	17739.9176672071	8
19	53797788	53931996	ENSRNOG00000056656	AABR07044049.1	5	2700	4046.83562446371	8
20	28569842	28717743	ENSRNOG00000046791	Sh3rf3	5	24416.5	36370.3561198638	8
1	279207086	279279739	ENSRNOG00000017438	Gfra1	5	34274.8571428571	62863.0549459924	7
4	25823167	26419627	ENSRNOG00000007151	Cdk14	5	2762.57142857143	5132.51912992515	7
6	24769817	24988116	ENSRNOG00000007951	Galnt14	5	7852.85714285714	13718.4722962456	7
8	24367516	24615979	ENSRNOG00000015357	Bmper	5	16519.4285714286	34336.6218628505	7
8	111492931	111578333	ENSRNOG00000009005	Slco2a1	5	1923.71428571429	3612.05946399399	7
8	113103414	113586918	ENSRNOG00000026577	Cpne4	5	3842.71428571429	9613.01525215139	7
11	32768665	33005421	ENSRNOG00000001704	Runx1	5	7263.85714285714	13395.994083165	7
11	35023696	35101783	ENSRNOG00000001658	Kcnj6	5	2702.28571428571	4663.37308945237	7
16	83519762	83632653	ENSRNOG00000016281	Col4a1	5	2158.85714285714	4023.9315529538	7
18	3859139	3941323	ENSRNOG00000011300	Lama3	5	16268.8571428571	27845.7207150912	7
20	28178640	28265437	ENSRNOG00000028598	Edar	5	3886.57142857143	9831.09520614977	7
5	160570002	160622734	ENSRNOG00000014197	Tmem51	5	500.666666666667	1226.37786455344	6
6	144382373	145133542	ENSRNOG00000005003	Ptprn2	5	162.5	398.042083202266	6
7	34531143	34649981	ENSRNOG00000005573	Ntn4	5	2990.83333333333	7326.01557237402	6
7	125339975	125410206	ENSRNOG00000052725	RGD1566029	5	1765.83333333333	4325.39063746463	6
8	46805647	47096752	ENSRNOG00000030910	Grik4	5	874.833333333333	2142.89527664482	6
8	48092273	48157805	ENSRNOG00000006403	Pvrl1	5	1166	2856.10504008519	6
8	68307768	68528324	ENSRNOG00000008353	Iqch	5	1161.66666666667	2845.49058453313	6
10	54406480	54470356	ENSRNOG00000003785	Usp43	5	747	1829.76883785903	6
15	34859866	35035122	ENSRNOG00000020625	Mcpt1	5	1811.33333333333	4436.84242076126	6
15	85929544	86107673	ENSRNOG00000009431	Tbc1d4	5	7157.66666666667	17532.6310822611	6
18	6833865	7083756	ENSRNOG00000015867	Chst9	5	940.833333333333	2304.56159966851	6
19	25524351	25750050	ENSRNOG00000052707	Cacna1a	5	5092.16666666667	12473.2100185424	6
1	100608466	100673474	ENSRNOG00000020014	Myh14	5	0	0	5
1	163072624	163132041	ENSRNOG00000014251	Capn5	5	0	0	5
1	175681460	175798440	ENSRNOG00000017767	Mrvi1	5	0	0	5
1	218567110	218630178	ENSRNOG00000014254	Cpt1a	5	0	0	5
1	242957084	243153969	ENSRNOG00000015894	Dock8	5	0	0	5
1	257154864	257466564	ENSRNOG00000014276	Plce1	5	0	0	5
1	267045861	267248036	ENSRNOG00000020353	Sh3pxd2a	5	0	0	5
2	157868892	158158844	ENSRNOG00000012427	Veph1	5	0	0	5
2	187445101	187490130	ENSRNOG00000027894	Iqgap3	5	0	0	5
3	29861973	29999265	ENSRNOG00000004677	Zeb2	5	0	0	5
3	114353398	114647882	ENSRNOG00000028668	LOC691960	5	0	0	5
3	161575131	161919685	ENSRNOG00000018557	Cdh22	5	0	0	5
4	9345128	9774170	ENSRNOG00000021441	Reln	5	0	0	5
4	50325942	50863156	ENSRNOG00000007636	Cadps2	5	0	0	5
4	54473636	55410322	ENSRNOG00000021468	Grm8	5	0	0	5
4	75323251	77023638	ENSRNOG00000006617	Cntnap2	5	0	0	5
4	152736661	152837582	ENSRNOG00000010344	B4galnt3	5	0	0	5
5	76416239	76634862	ENSRNOG00000056819	Susd1	5	0	0	5
5	79053121	79171265	ENSRNOG00000007657	Col27a1	5	0	0	5
5	104770892	104923306	ENSRNOG00000048197	Fam154a	5	0	0	5
6	10304005	10387765	ENSRNOG00000021318	Epas1	5	0	0	5
6	104716112	104878480	ENSRNOG00000005998	Smoc1	5	0	0	5
6	112130804	114068064	ENSRNOG00000047574	Nrxn3	5	0	0	5
6	128640714	128729774	ENSRNOG00000005287	Syne3	5	0	0	5
6	143935640	144008572	ENSRNOG00000004317	Vipr2	5	0	0	5
7	12540313	12632798	ENSRNOG00000011315	Med16	5	0	0	5
7	26644922	26862116	ENSRNOG00000008885	Chst11	5	0	0	5
7	62850015	62974484	ENSRNOG00000042668	Msrb3	5	0	0	5
7	70845844	70929303	ENSRNOG00000025053	Lrp1	5	0	0	5
7	125647288	125719486	ENSRNOG00000013067	Phf21b	5	0	0	5
8	61530065	61568010	ENSRNOG00000017208	Cspg4	5	0	0	5
9	1143300	1746897	ENSRNOG00000010637	Tbc1d5	5	0	0	5
9	116058110	116224840	ENSRNOG00000017065	Arhgap28	5	0	0	5
10	43064899	43210927	ENSRNOG00000002488	Galnt10	5	0	0	5
10	52749346	53040216	ENSRNOG00000029012	Shisa6	5	0	0	5
10	64412333	64552545	ENSRNOG00000008178	Nxn	5	0	0	5
10	82047363	82119509	ENSRNOG00000002948	Abcc3	5	0	0	5
11	61081357	61159338	ENSRNOG00000002041	Boc	5	0	0	5
11	69481893	70026133	ENSRNOG00000001706	Kalrn	5	0	0	5
12	44535793	44913547	ENSRNOG00000028630	Ksr2	5	0	0	5
13	71209060	71278897	ENSRNOG00000026952	Rgsl1	5	0	0	5
13	89327294	89436215	ENSRNOG00000046452	Fcgr2b	5	0	0	5
14	7688051	7866064	ENSRNOG00000002061	Ptpn13	5	0	0	5
14	78211235	78253766	ENSRNOG00000007564	Evc	5	0	0	5
14	81856337	82038247	ENSRNOG00000027929	Poln	5	0	0	5
14	83943477	84109397	ENSRNOG00000019645	Osbp2	5	0	0	5
15	4893713	4954317	ENSRNOG00000000341	Nid2	5	0	0	5
15	44452808	44630165	ENSRNOG00000024703	Dock5	5	0	0	5
17	27538633	27667666	ENSRNOG00000015701	Rreb1	5	0	0	5
18	28834917	29017952	ENSRNOG00000019093	Nrg2	5	0	0	5
19	34137597	34402936	ENSRNOG00000013152	Arhgap10	5	0	0	5
19	41036010	41381988	ENSRNOG00000017178	Hydin	5	0	0	5
19	49535292	49626158	ENSRNOG00000045626	Pkd1l2	5	0	0	5
19	55304996	55369753	ENSRNOG00000056786	Piezo1	5	0	0	5
19	58583132	58737573	ENSRNOG00000028580	Pcnxl2	5	0	0	5
20	8514642	8576482	ENSRNOG00000000536	Mdga1	5	0	0	5
20	29857137	29992511	ENSRNOG00000033087	Cdh23	5	0	0	5
10	106262034	106348990	ENSRNOG00000002807	Sept9	4	29558.0666666667	28630.5150706292	15
1	93850954	93951587	ENSRNOG00000014163	Zfp536	4	58591.1428571429	68441.8493106005	14
12	15800164	15844673	ENSRNOG00000024277	Card11	4	80975.7142857143	78918.7563271228	14
5	130000872	130088238	ENSRNOG00000023601	Elavl4	4	44179.4615384615	38573.7474188845	13
8	106314724	106430022	ENSRNOG00000013585	Nmnat3	4	102850.666666667	114496.406375788	12
3	168342752	168482941	ENSRNOG00000013196	Dok5	4	26203	35129.9462156023	10
4	150640566	150832313	ENSRNOG00000007090	Cacna1c	4	59860.8	76828.7570420232	10
9	98921734	98969010	ENSRNOG00000020355	Twist2	4	29432.6	37581.9583169017	10
13	106460968	106683936	ENSRNOG00000002593	Esrrg	4	66641	82267.0024574454	10
1	36586871	36684350	ENSRNOG00000055880	AABR07001061.1	4	17633.2222222222	28599.120020456	9
1	123487758	123625499	ENSRNOG00000051782	AABR07004061.1	4	31571.3333333333	50624.785194606	9
10	58330188	58371696	ENSRNOG00000007869	Wscd1	4	50096.1111111111	70699.825219806	9
1	191342579	191474642	ENSRNOG00000017659	Hs3st2	4	27957.25	33165.9325717994	8
3	167957494	168035857	ENSRNOG00000012906	Bcas1	4	17054	21660.073393887	8
15	20775554	20825140	ENSRNOG00000009694	Bmp4	4	29717.375	40353.2744004658	8
15	38647279	38712384	ENSRNOG00000053891	Phf11b	4	46190.5	52302.7154744379	8
1	48719133	48827764	ENSRNOG00000017731	Agpat4	4	5958.71428571429	9364.28120954452	7
1	127165931	127294490	ENSRNOG00000012730	Lrrk1	4	8828.42857142857	12684.6193591181	7
3	107559497	107762989	ENSRNOG00000004730	Meis2	4	22205.1428571429	47233.9769072666	7
5	104360571	104754363	ENSRNOG00000006956	Adamtsl1	4	81274.1428571429	119981.798693842	7
6	49122584	49326850	ENSRNOG00000004928	Sntg2	4	7812.57142857143	10709.9073425364	7
7	58041781	58151461	ENSRNOG00000003880	Tph2	4	28307	37701.5877738149	7
10	19465271	19576494	ENSRNOG00000006932	Dock2	4	13259.8571428571	17829.9790000678	7
18	58354148	58502236	ENSRNOG00000038784	Piezo2	4	48585	74702.1575993626	7
19	55092185	55151186	ENSRNOG00000043077	Zfpm1	4	13965.8571428571	25852.9867612272	7
1	234250357	234436339	ENSRNOG00000013413	Rorb	4	4103.5	7658.06831387655	6
1	256584910	256737130	ENSRNOG00000016117	Myof	4	15370.6666666667	24132.8354129113	6
2	77866012	78071809	ENSRNOG00000010161	Myo10	4	3164	4950.77270736599	6
2	258024677	258055235	ENSRNOG00000049676	St6galnac5	4	97555.3333333333	152173.412093791	6
3	13181524	13528383	ENSRNOG00000022162	Pbx3	4	36108.6666666667	61710.468644037	6
3	82096568	82239064	ENSRNOG00000008758	Tspan18	4	3979	7047.11702755105	6
4	121609932	121651071	ENSRNOG00000059810	Txnrd3	4	2477.33333333333	4562.83625244942	6
4	153947555	154046893	ENSRNOG00000014083	Iqsec3	4	7602.66666666667	17053.4834291023	6
5	119901107	119981547	ENSRNOG00000023812	Raver2	4	4603	7211.53670170235	6
8	7213322	7429011	ENSRNOG00000026821	Arhgap42	4	41730	65535.8143307917	6
8	77272070	77400648	ENSRNOG00000060338	Lipc	4	19717.6666666667	30847.7439866624	6
11	37004402	37256176	ENSRNOG00000027992	Dscam	4	12108.3333333333	21844.5454671565	6
12	31931943	32607870	ENSRNOG00000008447	Tmem132d	4	13348.3333333333	26778.1852758298	6
13	108639756	108686790	ENSRNOG00000003583	Smyd2	4	2686	4184.61830995373	6
17	15191862	15314345	ENSRNOG00000048350	AABR07072539.1	4	2053.33333333333	3231.98283823826	6
19	31522271	31614746	ENSRNOG00000018268	Hhip	4	69424.3333333333	109655.585088342	6
19	33205526	33427372	ENSRNOG00000012342	Ttc29	4	2076	3529.79636806431	6
1	76251829	76782630	ENSRNOG00000047986	Sult2a2	4	3646.2	8153.15105955973	5
1	143033818	143159933	ENSRNOG00000019005	Pde8a	4	1884	4212.7520696096	5
1	202429966	202561128	ENSRNOG00000020424	Ppapdc1a	4	5953.6	13312.6543108427	5
1	227741212	227905267	ENSRNOG00000042133	Gm8369	4	2.8	6.26099033699941	5
3	82323854	82370757	ENSRNOG00000000047	Cd82	4	211.2	472.257556847956	5
