Chromosome	Gene-Start	Gene-End	Gene-ID	Gene-Name	Peaks-on-Gene-Body	Mean-Distance-of-Gene-to-Nearest-Peaks	sd	Number-of-Peaks-Associated-with-Gene
7	143688262	143758985	ENSMUSG00000037606	Osbpl5	18	0	0	18
8	111534097	111626530	ENSMUSG00000033545	Znrf1	18	0	0	18
9	42517635	42946493	ENSMUSG00000032017	Grik4	18	0	0	18
11	95710673	95835615	ENSMUSG00000075595	Zfp652	18	0	0	18
15	58940734	59084005	ENSMUSG00000022353	Mtss1	18	0	0	18
17	29156050	29239797	ENSMUSG00000024008	Cpne5	18	0	0	18
19	47176820	47259940	ENSMUSG00000006435	Neurl1a	18	0	0	18
6	114641097	114861114	ENSMUSG00000030314	Atg7	17	16685.9459459459	21673.0989887181	37
19	10244765	10306877	ENSMUSG00000035735	Dagla	17	4037.27272727273	7849.65851960828	22
11	59659305	59781360	ENSMUSG00000005417	Mprip	17	2458.47619047619	5887.25907039131	21
2	35750741	35981913	ENSMUSG00000026885	Ttll11	17	941.45	2509.74086468997	20
10	42181341	42278755	ENSMUSG00000048756	Foxo3	17	736.6	2273.51597403901	20
15	85898429	86035777	ENSMUSG00000016028	Celsr1	17	423.578947368421	1536.52184117931	19
1	189726268	189877195	ENSMUSG00000026604	Ptpn14	17	403.888888888889	1713.5554330754	18
5	139016806	139152001	ENSMUSG00000025855	Prkar1b	17	289.333333333333	1227.53737213985	18
5	150116645	150498253	ENSMUSG00000056602	Fry	17	147.055555555556	623.90388326693	18
11	106501647	106615423	ENSMUSG00000040548	Tex2	17	487.666666666667	2068.99444175184	18
17	47138875	47362458	ENSMUSG00000064043	Trerf1	17	1270.94444444444	5392.16061106822	18
17	56324062	56403370	ENSMUSG00000024201	Kdm4b	17	135.055555555556	572.992195021499	18
1	36562192	36685183	ENSMUSG00000046337	Fam178b	17	0	0	17
1	89068415	89155568	ENSMUSG00000036206	Sh3bp4	17	0	0	17
2	156418909	156543714	ENSMUSG00000027624	Epb41l1	17	0	0	17
2	165111007	165236853	ENSMUSG00000053166	Cdh22	17	0	0	17
2	167551314	167608345	ENSMUSG00000085596	Gm11476	17	0	0	17
3	84495926	85889518	ENSMUSG00000102805	Gm37240	17	0	0	17
4	41697989	41769974	ENSMUSG00000073889	Il11ra1	17	0	0	17
4	152390242	152479871	ENSMUSG00000028931	Kcnab2	17	0	0	17
5	110361254	110450503	ENSMUSG00000043323	Fbrsl1	17	0	0	17
5	144875995	144967847	ENSMUSG00000038780	Smurf1	17	0	0	17
6	108211096	108551609	ENSMUSG00000030102	Itpr1	17	0	0	17
7	96169246	96911593	ENSMUSG00000048078	Tenm4	17	0	0	17
7	134668654	135174139	ENSMUSG00000058325	Dock1	17	0	0	17
9	68651786	69388746	ENSMUSG00000032238	Rora	17	0	0	17
9	119901116	120071879	ENSMUSG00000052336	Cx3cr1	17	0	0	17
10	61837736	61981108	ENSMUSG00000058806	Col13a1	17	0	0	17
10	78268678	78354489	ENSMUSG00000001211	Agpat3	17	0	0	17
11	75830499	75940429	ENSMUSG00000020847	Rph3al	17	0	0	17
11	97508840	97578186	ENSMUSG00000038453	Srcin1	17	0	0	17
13	37776400	37952505	ENSMUSG00000039087	Rreb1	17	0	0	17
13	54947411	55006518	ENSMUSG00000025876	Unc5a	17	0	0	17
13	56073119	56138361	ENSMUSG00000015937	H2afy	17	0	0	17
14	69838420	70060418	ENSMUSG00000022085	Pebp4	17	0	0	17
15	82807936	82989872	ENSMUSG00000041852	Tcf20	17	0	0	17
15	100036664	100219973	ENSMUSG00000023026	Dip2b	17	0	0	17
16	33827665	33949838	ENSMUSG00000022817	Itgb5	17	0	0	17
16	91683898	91928982	ENSMUSG00000116933	Atp5o	17	0	0	17
17	24547834	24597008	ENSMUSG00000032855	Pkd1	17	0	0	17
17	7168115	7303815	ENSMUSG00000023809	Rps6ka2	16	4007.94736842105	9986.57172559279	19
17	25577174	25663326	ENSMUSG00000002279	Lmf1	16	348.684210526316	1087.98596052173	19
7	111471161	111781977	ENSMUSG00000038296	Galnt18	16	1129.22222222222	4701.06725749346	18
4	128652702	128753381	ENSMUSG00000028796	Phc2	16	64.9411764705882	267.759330040112	17
6	31082065	31222488	ENSMUSG00000044471	Lncpint	16	215.705882352941	889.378137008233	17
12	108203102	108277425	ENSMUSG00000084883	Ccdc85c	16	80.9411764705882	333.729020049994	17
15	12359211	12741924	ENSMUSG00000022197	Pdzd2	16	24.2941176470588	100.167213140006	17
16	33515328	33664635	ENSMUSG00000035506	Slc12a8	16	456.823529411765	1883.53166403216	17
17	27421887	27523403	ENSMUSG00000063239	Grm4	16	287.588235294118	1185.75667080263	17
1	133698957	133803041	ENSMUSG00000026463	Atp2b4	16	0	0	16
2	59610042	59846649	ENSMUSG00000035168	Tanc1	16	0	0	16
2	128177819	128504765	ENSMUSG00000074813	Gm14005	16	0	0	16
2	180175873	180227859	ENSMUSG00000015647	Lama5	16	0	0	16
4	133009260	133078610	ENSMUSG00000037692	Ahdc1	16	0	0	16
4	155259629	155363361	ENSMUSG00000029053	Prkcz	16	0	0	16
5	35891319	36004423	ENSMUSG00000029094	Afap1	16	0	0	16
6	115851470	115927199	ENSMUSG00000030323	Ift122	16	0	0	16
7	112425505	112592192	ENSMUSG00000030770	Parva	16	0	0	16
8	71270714	71361213	ENSMUSG00000004677	Myo9b	16	0	0	16
9	21422908	21508259	ENSMUSG00000033335	Dnm2	16	0	0	16
9	118924453	119044498	ENSMUSG00000047409	Ctdspl	16	0	0	16
10	75058592	75185421	ENSMUSG00000009681	Bcr	16	0	0	16
10	75645612	75766341	ENSMUSG00000020196	Cabin1	16	0	0	16
10	77684569	77887521	ENSMUSG00000069581	Tspear	16	0	0	16
10	127537661	127623148	ENSMUSG00000040249	Lrp1	16	0	0	16
11	69420309	69551110	ENSMUSG00000005237	Dnah2	16	0	0	16
13	48801250	48873119	ENSMUSG00000038025	Phf2	16	0	0	16
15	72589120	73063204	ENSMUSG00000047921	Trappc9	16	0	0	16
15	78945724	79006369	ENSMUSG00000033088	Triobp	16	0	0	16
15	84378703	84449097	ENSMUSG00000062760	1810041L15Rik	15	11217.6	16845.8694442683	25
15	80285238	80398779	ENSMUSG00000022416	Cacna1i	15	1131.89473684211	2914.00186636745	19
7	98884521	99143141	ENSMUSG00000035354	Uvrag	15	853.833333333333	2202.84338312742	18
7	34910379	35045208	ENSMUSG00000063931	Pepd	15	3409.52941176471	9683.01857065791	17
17	31384234	31476810	ENSMUSG00000041119	Pde9a	15	627.764705882353	2429.32973084686	17
6	146107799	146504223	ENSMUSG00000030287	Itpr2	15	1450.0625	5800.25	16
11	59970114	60048489	ENSMUSG00000000301	Pemt	15	1082	4328	16
14	31359380	31438078	ENSMUSG00000021892	Sh3bp5	15	357.6875	1430.75	16
15	77078490	77309004	ENSMUSG00000033565	Rbfox2	15	105.75	423	16
18	82908879	83005814	ENSMUSG00000058881	Zfp516	15	311.6875	1246.75	16
1	33906225	34309161	ENSMUSG00000026131	Dst	15	0	0	15
1	74282930	74354194	ENSMUSG00000026179	Pnkd	15	0	0	15
2	157015299	157081254	ENSMUSG00000055485	Soga1	15	0	0	15
4	63212004	63335491	ENSMUSG00000045672	Col27a1	15	0	0	15
4	155084577	155146005	ENSMUSG00000029049	Morn1	15	0	0	15
6	88722412	88828860	ENSMUSG00000033174	Mgll	15	0	0	15
7	98121059	98180274	ENSMUSG00000035547	Capn5	15	0	0	15
7	99657304	99713340	ENSMUSG00000030737	Slco2b1	15	0	0	15
7	135535481	135686793	ENSMUSG00000041836	Ptpre	15	0	0	15
8	70537457	70593358	ENSMUSG00000070002	Ell	15	0	0	15
8	110616585	110720898	ENSMUSG00000010936	Vac14	15	0	0	15
9	45424628	45754212	ENSMUSG00000032087	Dscaml1	15	0	0	15
10	77051678	77168548	ENSMUSG00000001435	Col18a1	15	0	0	15
10	94309949	94591456	ENSMUSG00000020023	Tmcc3	15	0	0	15
11	46053992	46147843	ENSMUSG00000011256	Adam19	15	0	0	15
11	57643442	57788014	ENSMUSG00000020520	Galnt10	15	0	0	15
11	74382856	74612915	ENSMUSG00000038807	Rap1gap2	15	0	0	15
11	119142545	119230499	ENSMUSG00000039976	Tbc1d16	15	0	0	15
11	120670973	120709947	ENSMUSG00000025142	Aspscr1	15	0	0	15
12	76579988	76712547	ENSMUSG00000021061	Sptb	15	0	0	15
12	111756849	111808344	ENSMUSG00000021288	Klc1	15	0	0	15
12	113012508	113074901	ENSMUSG00000021143	Pacs2	15	0	0	15
15	25620525	25814173	ENSMUSG00000022272	Myo10	15	0	0	15
18	35827818	35862187	ENSMUSG00000046668	Cxxc5	15	0	0	15
19	46394896	46489304	ENSMUSG00000025231	Sufu	15	0	0	15
4	149978975	150011023	ENSMUSG00000028980	H6pd	14	3833.25	6475.33509699854	20
3	89518164	89675632	ENSMUSG00000000794	Kcnn3	14	2980.84210526316	5580.94384951703	19
2	168633938	168744409	ENSMUSG00000027546	Atp9a	14	1731.11111111111	3644.37501926541	18
9	71626009	71773602	ENSMUSG00000032232	Cgnl1	14	1612.22222222222	4296.7152646364	18
15	78666831	78720771	ENSMUSG00000043460	Elfn2	14	2451.77777777778	5186.78467278429	18
4	45422778	45534470	ENSMUSG00000044813	Shb	14	1114.11764705882	2842.75187719472	17
1	190699702	190913770	ENSMUSG00000089872	Rps6kc1	14	4125.5	11322.6381731468	16
5	35696680	35741987	ENSMUSG00000036553	Sh3tc1	14	535.25	1507.47397987494	16
9	119482908	119581016	ENSMUSG00000032511	Scn5a	14	193.4375	677.92014955057	16
12	17688856	17792433	ENSMUSG00000071379	Hpcal1	14	1326.625	4002.20477362166	16
12	83213245	83489716	ENSMUSG00000021221	Dpf3	14	595.75	1631.12936335534	16
17	47866633	47926645	ENSMUSG00000023991	Foxp4	14	854.375	2334.59694951113	16
1	37297865	37411236	ENSMUSG00000026113	Inpp4a	14	711.133333333333	2754.20755693297	15
5	140661327	140704378	ENSMUSG00000036555	Iqce	14	21.9333333333333	84.947434726816	15
7	80711083	80827974	ENSMUSG00000030536	Iqgap1	14	605.666666666667	2345.73691335296	15
