Chromosome	 Peak Start	 Peak End	 Chromosome	 Gene Start	 Gene End	 Gene ID	 Gene Name	 Distance-of-Gene-to-Nearest-Peak
1	22108800	22112399	1	22123995	22209805	ENSRNOG00000015321	Moxd1	0

1	22430600	22431599	1	22429940	22434806	ENSRNOG00000039872	AC128759.2	0

1	22496800	22498599	1	22506594	22511470	ENSRNOG00000047825	Taar7c	0

1	22616000	22616999	1	22614283	22628504	ENSRNOG00000016219	Vnn1	0

1	22627800	22631599	1	22614283	22628504	ENSRNOG00000016219	Vnn1	0

1	22871800	22872999	1	23406108	23610664	ENSRNOG00000016627	Eya4	0

1	22962200	22962799	1	23406108	23610664	ENSRNOG00000016627	Eya4	0

1	23035000	23036399	1	23406108	23610664	ENSRNOG00000016627	Eya4	0

1	23058400	23059399	1	23406108	23610664	ENSRNOG00000016627	Eya4	0

1	23060000	23061999	1	23406108	23610664	ENSRNOG00000016627	Eya4	0

1	23222000	23223599	1	23406108	23610664	ENSRNOG00000016627	Eya4	0

1	23237400	23240399	1	23406108	23610664	ENSRNOG00000016627	Eya4	0

1	23655800	23656999	1	23903417	23910066	ENSRNOG00000016700	Tcf21	0

1	23779000	23783199	1	23903417	23910066	ENSRNOG00000016700	Tcf21	0

1	23808600	23810799	1	23903417	23910066	ENSRNOG00000016700	Tcf21	0

1	23838600	23839799	1	23903417	23910066	ENSRNOG00000016700	Tcf21	0

1	23864000	23867799	1	23903417	23910066	ENSRNOG00000016700	Tcf21	0

1	23967600	23969599	1	23974388	24003006	ENSRNOG00000011114	Tbpl1	0

1	24745400	24747599	1	24822071	24828985	ENSRNOG00000055637	AABR07000725.1	0

1	24839600	24846799	1	24854407	24861616	ENSRNOG00000058047	AABR07000733.1	0

1	25013000	25027399	1	25169942	25296637	ENSRNOG00000012122	Clvs2	0

1	25029600	25031799	1	25169942	25296637	ENSRNOG00000012122	Clvs2	0

1	25233000	25233999	1	25169942	25296637	ENSRNOG00000012122	Clvs2	0

1	25954200	25956199	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	26000600	26001599	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	26518400	26519999	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	26580400	26586999	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	26619800	26620399	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	26702200	26703199	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	26719000	26720799	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	26788400	26792399	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	27093600	27096599	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	27100600	27101999	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	27112800	27117599	1	27471895	27475801	ENSRNOG00000058582	U6	0

1	28203000	28204199	1	28298622	28391337	ENSRNOG00000013323	Rnf217	0

1	28326600	28328399	1	28298622	28391337	ENSRNOG00000013323	Rnf217	0

1	28355400	28355999	1	28298622	28391337	ENSRNOG00000013323	Rnf217	0

1	28517200	28518199	1	28451666	28577053	ENSRNOG00000021478	Tpd52l1	0

1	28605400	28606999	1	29187892	29202031	ENSRNOG00000013364	Hey2	0

1	28656200	28658999	1	29187892	29202031	ENSRNOG00000013364	Hey2	0

1	28749200	28750599	1	29187892	29202031	ENSRNOG00000013364	Hey2	0

1	29144000	29145599	1	29187892	29202031	ENSRNOG00000013364	Hey2	0

1	29147600	29151799	1	29187892	29202031	ENSRNOG00000013364	Hey2	0

1	29630600	29631799	1	29912143	29921098	ENSRNOG00000042944	Cenpw	0

1	29827800	29828999	1	29912143	29921098	ENSRNOG00000042944	Cenpw	0

1	29887400	29888599	1	29912143	29921098	ENSRNOG00000042944	Cenpw	0

1	29915400	29916599	1	29912143	29921098	ENSRNOG00000042944	Cenpw	0

1	30115400	30115999	1	30149803	30153746	ENSRNOG00000056383	U4	0

1	30143400	30144399	1	30149803	30153746	ENSRNOG00000056383	U4	0

1	30148800	30149599	1	30149803	30153746	ENSRNOG00000056383	U4	0

1	30636600	30637399	1	30665587	30670053	ENSRNOG00000056484	AABR07000978.1	0

1	31213800	31214599	1	31260870	31265766	ENSRNOG00000023407	Mrpl36	0

1	31392600	31393599	1	31406279	31426162	ENSRNOG00000012581	RGD1311933	0

1	31434800	31437999	1	31433412	31437703	ENSRNOG00000039788	AC094217.1	0

1	31514800	31516199	1	31527146	31531383	ENSRNOG00000039783	Rpl26-ps2	0

1	31530000	31531999	1	31527146	31531383	ENSRNOG00000039783	Rpl26-ps2	0

1	31639000	31651399	1	31599997	31698829	ENSRNOG00000014721	Ahrr	0

1	31768800	31796999	1	31733827	31780370	ENSRNOG00000015159	Slc9a3	0

1	31821400	31821999	1	31831700	31865128	ENSRNOG00000015465	Cep72	0

1	31925200	31928199	1	31905564	31939837	ENSRNOG00000039743	Zdhhc11	0

1	31991800	32000799	1	31964678	32013419	ENSRNOG00000015810	Trip13	0

1	32013600	32021599	1	32050794	32054711	ENSRNOG00000045233	5S_rRNA	0

1	32033000	32033799	1	32050794	32054711	ENSRNOG00000045233	5S_rRNA	0

1	32043600	32068399	1	32050794	32054711	ENSRNOG00000045233	5S_rRNA	0

1	32069200	32072199	1	32054744	32085377	ENSRNOG00000016103	Nkd2	0

1	32072800	32073999	1	32054744	32085377	ENSRNOG00000016103	Nkd2	0

1	32120600	32122999	1	32086255	32144336	ENSRNOG00000016372	Slc12a7	0

1	32130200	32159799	1	32086255	32144336	ENSRNOG00000016372	Slc12a7	0

1	32198800	32204999	1	32191348	32203777	ENSRNOG00000056712	AC142421.1	0

1	32206000	32207999	1	32196510	32220545	ENSRNOG00000026501	Slc6a19	0

1	32218800	32222999	1	32196510	32220545	ENSRNOG00000026501	Slc6a19	0

1	32351800	32366199	1	32321080	32367283	ENSRNOG00000017302	Slc6a3	0

1	32428400	32437399	1	32378932	32433217	ENSRNOG00000017930	Lpcat1	0

1	32439600	32448599	1	32450513	32477111	ENSRNOG00000053180	AABR07001003.1	0

1	32452600	32454599	1	32450513	32477111	ENSRNOG00000053180	AABR07001003.1	0

1	32455400	32466799	1	32450513	32477111	ENSRNOG00000053180	AABR07001003.1	0

1	32513600	32518399	1	32569796	32573889	ENSRNOG00000047971	LOC100910528	0

1	32528200	32535199	1	32569796	32573889	ENSRNOG00000047971	LOC100910528	0

1	32538600	32546799	1	32569796	32573889	ENSRNOG00000047971	LOC100910528	0

1	32611200	32650199	1	32634296	32647071	ENSRNOG00000012720	Irx4	0

1	32848000	32851199	1	33061381	33071946	ENSRNOG00000057164	AABR07001010.1	0

1	32936600	32962999	1	33061381	33071946	ENSRNOG00000057164	AABR07001010.1	0

1	33131800	33133199	1	33271477	33278840	ENSRNOG00000012742	Irx2	0

1	33147800	33153199	1	33271477	33278840	ENSRNOG00000012742	Irx2	0

1	33177400	33190199	1	33271477	33278840	ENSRNOG00000012742	Irx2	0

1	33219800	33229599	1	33271477	33278840	ENSRNOG00000012742	Irx2	0

1	33252800	33285199	1	33271477	33278840	ENSRNOG00000012742	Irx2	0

1	33378200	33382799	1	33717304	33724003	ENSRNOG00000058487	AABR07001018.5	0

1	33422800	33428799	1	33717304	33724003	ENSRNOG00000058487	AABR07001018.5	0

1	33435600	33440399	1	33717304	33724003	ENSRNOG00000058487	AABR07001018.5	0

1	33510400	33536399	1	33717304	33724003	ENSRNOG00000058487	AABR07001018.5	0

1	33585800	33612399	1	33717304	33724003	ENSRNOG00000058487	AABR07001018.5	0

1	33613000	33619799	1	33717304	33724003	ENSRNOG00000058487	AABR07001018.5	0

1	33662000	33665799	1	33717304	33724003	ENSRNOG00000058487	AABR07001018.5	0

1	33699400	33701199	1	33717304	33724003	ENSRNOG00000058487	AABR07001018.5	0

1	33739800	33743399	1	33718120	33741896	ENSRNOG00000055826	AABR07001018.3	0

1	33783600	33785399	1	33791503	33797799	ENSRNOG00000053323	AABR07001018.1	0

1	33794800	33796199	1	33791503	33797799	ENSRNOG00000053323	AABR07001018.1	0

1	33804800	33806599	1	33801575	33811364	ENSRNOG00000056842	AABR07001018.4	0

1	33831400	33834599	1	33907612	33917241	ENSRNOG00000033609	Irx1	0

1	33900200	33926199	1	33907612	33917241	ENSRNOG00000033609	Irx1	0

1	34016800	34017799	1	34268859	34275220	ENSRNOG00000057928	AABR07001025.1	0

1	34026200	34029799	1	34268859	34275220	ENSRNOG00000057928	AABR07001025.1	0

1	34072200	34075199	1	34268859	34275220	ENSRNOG00000057928	AABR07001025.1	0

1	34083800	34085599	1	34268859	34275220	ENSRNOG00000057928	AABR07001025.1	0

1	34426800	34427599	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34483400	34484599	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34512800	34514799	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34563200	34564199	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34575400	34578799	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34601000	34602199	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34629200	34630599	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34690600	34694399	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34695000	34697399	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34843800	34845599	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34909400	34911199	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	34928000	34930599	1	35026541	35030671	ENSRNOG00000057721	AABR07001035.1	0

1	35055000	35057399	1	35064190	35199439	ENSRNOG00000016812	Adamts16	0

1	35075600	35078199	1	35064190	35199439	ENSRNOG00000016812	Adamts16	0

1	35096600	35097799	1	35064190	35199439	ENSRNOG00000016812	Adamts16	0

1	35102200	35104799	1	35064190	35199439	ENSRNOG00000016812	Adamts16	0

1	35138000	35140399	1	35064190	35199439	ENSRNOG00000016812	Adamts16	0

1	35154400	35155599	1	35064190	35199439	ENSRNOG00000016812	Adamts16	0

1	35185600	35186199	1	35064190	35199439	ENSRNOG00000016812	Adamts16	0

1	35206800	35211199	1	35277401	35319682	ENSRNOG00000023053	Ice1	0

1	35497600	35498599	1	35522939	35527533	ENSRNOG00000049434	AABR07001048.1	0

1	35535200	35536399	1	35751971	35755897	ENSRNOG00000052375	SNORA17	0

1	35607600	35609599	1	35751971	35755897	ENSRNOG00000052375	SNORA17	0

1	35637800	35639199	1	35751971	35755897	ENSRNOG00000052375	SNORA17	0

1	35663000	35667199	1	35751971	35755897	ENSRNOG00000052375	SNORA17	0

1	35679800	35680599	1	35751971	35755897	ENSRNOG00000052375	SNORA17	0

1	35683600	35684599	1	35751971	35755897	ENSRNOG00000052375	SNORA17	0

1	35709400	35711999	1	35751971	35755897	ENSRNOG00000052375	SNORA17	0

1	35715200	35716799	1	35751971	35755897	ENSRNOG00000052375	SNORA17	0

1	35741400	35744199	1	35751971	35755897	ENSRNOG00000052375	SNORA17	0

1	35768800	35773999	1	35864709	35870409	ENSRNOG00000017095	LOC679881	0

1	35797200	35799199	1	35864709	35870409	ENSRNOG00000017095	LOC679881	0

1	35805600	35808199	1	35864709	35870409	ENSRNOG00000017095	LOC679881	0

1	35891200	35897199	1	35922188	35999836	ENSRNOG00000057357	AABR07001054.2	0

1	35920200	35921999	1	35922188	35999836	ENSRNOG00000057357	AABR07001054.2	0

1	35929600	35931399	1	35922188	35999836	ENSRNOG00000057357	AABR07001054.2	0

1	35950600	35956599	1	35922188	35999836	ENSRNOG00000057357	AABR07001054.2	0

1	35980000	35984399	1	35922188	35999836	ENSRNOG00000057357	AABR07001054.2	0

1	36034000	36034599	1	36106732	36116293	ENSRNOG00000017150	Med10	0

1	36085400	36086399	1	36106732	36116293	ENSRNOG00000017150	Med10	0

1	36099400	36101799	1	36106732	36116293	ENSRNOG00000017150	Med10	0

1	36197400	36199999	1	36182616	36226776	ENSRNOG00000034075	Ube2ql1	0

1	36202200	36204399	1	36182616	36226776	ENSRNOG00000034075	Ube2ql1	0

1	36438800	36440399	1	36585971	36684350	ENSRNOG00000055880	AABR07001061.1	0

1	36553000	36558399	1	36585971	36684350	ENSRNOG00000055880	AABR07001061.1	0

1	36566000	36577999	1	36585971	36684350	ENSRNOG00000055880	AABR07001061.1	0

1	36594000	36595399	1	36585971	36684350	ENSRNOG00000055880	AABR07001061.1	0

1	36608200	36609399	1	36585971	36684350	ENSRNOG00000055880	AABR07001061.1	0

1	36649200	36650599	1	36585971	36684350	ENSRNOG00000055880	AABR07001061.1	0

1	36661000	36661999	1	36585971	36684350	ENSRNOG00000055880	AABR07001061.1	0

1	36684400	36686399	1	36953996	36960600	ENSRNOG00000017678	AABR07001064.1	0

1	36721600	36724399	1	36953996	36960600	ENSRNOG00000017678	AABR07001064.1	0

1	36768400	36770199	1	36953996	36960600	ENSRNOG00000017678	AABR07001064.1	0

1	36831200	36832999	1	36953996	36960600	ENSRNOG00000017678	AABR07001064.1	0

1	36895200	36895999	1	36953996	36960600	ENSRNOG00000017678	AABR07001064.1	0

1	36929200	36929999	1	36953996	36960600	ENSRNOG00000017678	AABR07001064.1	0

1	36930800	36932199	1	36953996	36960600	ENSRNOG00000017678	AABR07001064.1	0

1	36952200	36956999	1	36953996	36960600	ENSRNOG00000017678	AABR07001064.1	0

1	36965200	36968599	1	37056112	37163089	ENSRNOG00000058077	AABR07001068.1	0

1	37041400	37045999	1	37056112	37163089	ENSRNOG00000058077	AABR07001068.1	0

